,owlib.csv,xharbour.csv,prelude.csv,graphmak.csv,octave.csv,checker-framework.csv,zengine.csv,zildo.csv,opengs.csv,tokratan.csv,jmol.csv,minig.csv,moving-pictures.csv,zabbix.csv,xfce.csv,ngl.csv,mesa3d.csv,nunit.csv,elvishrayrenderer.csv
checker-framework.csv,0.56,0.49,0.25,0.54,0.24,0.61,0.49,0.68,0.59,0.22,0.69,0.52,0.61,0.5,0.7,0.67,0.32,0.35,0.55
elvishrayrenderer.csv,0.38,0.7,0.88,0.56,0.27,0.36,0.46,0.69,0.6,0.18,0.76,0.48,0.55,0.32,0.78,0.4,0.32,0.46,0.84
graphmak.csv,0.52,0.02,0.04,0.67,0.25,0.12,0.05,0.59,0.58,0.19,0.37,0.33,0.58,0.52,0.0,0.64,0.0,0.25,0.58
jmol.csv,0.57,0.9,0.82,0.48,0.34,0.35,0.72,0.65,0.6,0.2,0.77,0.48,0.63,0.6,0.75,0.65,0.35,0.34,0.81
mesa3d.csv,0.33,0.73,0.09,0.43,0.37,0.12,0.48,0.6,0.28,0.28,0.65,0.45,0.42,0.17,0.77,0.63,0.39,0.34,0.64
minig.csv,0.54,0.62,0.88,0.47,0.21,0.45,0.8,0.65,0.23,0.26,0.9,0.63,0.61,0.54,0.57,0.6,0.24,0.4,0.76
moving-pictures.csv,0.41,0.84,0.09,0.43,0.34,0.29,0.31,0.54,0.62,0.16,0.38,0.4,0.62,0.44,0.09,0.56,0.0,0.36,0.57
ngl.csv,0.55,0.84,0.81,0.57,0.39,0.34,0.78,0.6,0.65,0.26,0.78,0.53,0.61,0.53,0.17,0.62,0.19,0.36,0.63
nunit.csv,0.47,0.79,0.88,0.54,0.26,0.38,0.7,0.65,0.54,0.14,0.79,0.48,0.54,0.54,0.22,0.4,0.17,0.45,0.51
octave.csv,0.42,0.45,0.17,0.12,0.44,0.06,0.49,0.17,0.5,0.0,0.57,0.34,0.36,0.08,0.36,0.33,0.25,0.33,0.41
opengs.csv,0.37,0.78,0.13,0.48,0.12,0.18,0.61,0.5,0.71,0.24,0.28,0.4,0.47,0.49,0.66,0.41,0.33,0.25,0.53
owlib.csv,0.66,0.8,0.72,0.59,0.36,0.46,0.61,0.71,0.52,0.31,0.8,0.62,0.56,0.53,0.71,0.6,0.4,0.35,0.74
prelude.csv,0.57,0.9,0.9,0.52,0.31,0.34,0.87,0.66,0.64,0.21,0.89,0.54,0.65,0.53,0.8,0.67,0.4,0.34,0.74
tokratan.csv,0.47,0.91,0.17,0.46,0.06,0.43,0.86,0.7,0.56,0.38,0.6,0.42,0.43,0.71,0.69,0.56,0.36,0.34,0.66
xfce.csv,0.56,0.75,0.17,0.55,0.28,0.51,0.6,0.68,0.62,0.2,0.71,0.56,0.6,0.47,0.72,0.71,0.36,0.42,0.59
xharbour.csv,0.57,0.86,0.53,0.55,0.31,0.41,0.84,0.6,0.58,0.19,0.89,0.51,0.61,0.54,0.74,0.65,0.33,0.37,0.68
zabbix.csv,0.48,0.74,0.64,0.51,0.23,0.35,0.62,0.63,0.53,0.25,0.53,0.47,0.41,0.53,0.66,0.7,0.3,0.31,0.77
zengine.csv,0.57,0.9,0.85,0.52,0.3,0.32,0.9,0.69,0.59,0.19,0.88,0.54,0.64,0.61,0.78,0.69,0.41,0.37,0.78
zildo.csv,0.58,0.88,0.74,0.5,0.34,0.43,0.69,0.71,0.1,0.33,0.66,0.41,0.37,0.57,0.68,0.51,0.35,0.26,0.73
