,owlib.csv,xharbour.csv,prelude.csv,graphmak.csv,octave.csv,checker-framework.csv,zengine.csv,zildo.csv,opengs.csv,tokratan.csv,jmol.csv,minig.csv,moving-pictures.csv,zabbix.csv,xfce.csv,ngl.csv,mesa3d.csv,nunit.csv,elvishrayrenderer.csv
checker-framework.csv,0.79,0.67,0.86,0.93,0.78,0.29,0.68,0.74,0.85,0.88,0.8,0.82,0.74,0.93,0.51,0.65,0.68,0.8,0.86
elvishrayrenderer.csv,0.75,1.01,1.0,0.54,0.71,0.57,0.78,0.6,0.58,0.7,0.58,0.6,0.86,0.78,0.91,0.81,0.75,0.47,0.33
graphmak.csv,0.62,0.99,0.99,0.38,0.87,0.92,0.97,0.56,0.53,0.67,0.85,0.84,0.87,0.89,1.0,0.61,1.0,0.83,0.85
jmol.csv,0.82,1.0,0.38,0.93,0.63,0.86,0.61,0.98,0.72,0.91,0.53,0.95,0.94,0.67,0.53,0.79,0.95,0.88,0.72
mesa3d.csv,0.77,0.5,0.95,0.69,0.55,0.9,0.68,0.6,0.84,0.57,0.55,0.64,0.72,0.98,0.52,0.6,0.58,0.68,0.72
minig.csv,0.96,0.92,1.0,0.62,0.96,0.44,1.01,0.47,0.85,0.64,1.0,0.43,1.0,0.8,0.93,0.94,0.82,0.54,0.95
moving-pictures.csv,0.71,0.35,0.95,0.66,0.61,0.68,0.82,0.84,0.61,0.81,0.78,0.71,0.51,0.71,0.95,0.59,1.0,0.61,0.71
ngl.csv,0.72,0.96,0.83,0.55,0.51,0.83,0.44,0.7,0.68,0.55,0.82,0.65,0.74,0.98,0.91,0.54,0.88,0.7,0.77
nunit.csv,0.71,0.68,0.91,0.53,0.84,0.57,1.04,0.73,0.65,0.8,0.85,0.62,0.84,0.6,0.88,0.89,0.88,0.48,0.71
octave.csv,0.71,0.83,0.9,0.93,0.53,1.0,0.76,0.91,0.74,1.0,0.65,0.75,0.8,0.95,0.78,0.79,0.82,0.65,0.76
opengs.csv,0.75,0.48,0.93,0.65,0.91,0.86,0.58,0.71,0.36,0.57,0.86,0.82,0.7,0.8,0.58,0.72,0.68,0.76,0.71
owlib.csv,0.41,0.63,0.44,0.54,0.56,0.46,0.65,0.48,0.71,0.46,0.62,0.44,0.68,0.59,0.52,0.57,0.58,0.63,0.6
prelude.csv,0.99,1.0,0.23,1.0,0.91,0.75,0.51,0.93,0.79,0.9,1.0,0.81,0.9,0.95,0.67,0.93,0.74,0.85,0.85
tokratan.csv,0.69,0.74,0.9,0.83,0.96,0.56,0.37,0.55,0.59,0.4,0.64,0.68,0.72,0.38,0.59,0.64,0.73,0.64,0.57
xfce.csv,0.6,0.48,0.9,0.85,0.67,0.37,0.71,0.86,0.68,0.68,0.78,0.58,0.77,0.96,0.52,0.83,0.65,0.6,0.88
xharbour.csv,0.98,0.25,0.75,0.73,0.63,0.52,0.76,0.73,0.97,0.77,1.0,0.81,0.55,0.79,0.72,0.89,0.9,0.64,0.69
zabbix.csv,0.65,0.43,0.57,0.6,0.75,0.77,0.55,0.86,0.67,0.56,0.71,0.78,0.72,0.57,0.59,0.7,0.87,0.81,0.64
zengine.csv,0.99,0.74,0.65,1.0,0.99,0.88,0.18,0.86,0.92,1.0,0.91,0.95,1.0,0.85,0.72,0.93,0.6,0.87,1.0
zildo.csv,0.73,1.0,0.41,0.9,0.61,0.48,0.48,0.39,0.95,0.51,0.63,0.68,0.75,0.59,0.55,0.63,0.65,0.75,0.75
