,arianne.csv,knowledge.csv,bl-toolkit.csv,voms.csv,amateur-scrolls.csv,micomt.csv,kml.csv,ultimairis.csv,sigil.csv,auber.csv,lufa-lib.csv,lportal.csv,les-indemodables.csv,keyczar.csv,growl-for-windows.csv
amateur-scrolls.csv,0.12,0.44,0.02,0.44,0.75,0.23,0.0,0.32,0.58,0.24,0.0,0.17,0.0,0.17,0.36
arianne.csv,0.7,0.97,1.0,1.0,0.95,1.0,1.0,0.96,0.83,1.0,0.97,0.95,0.97,0.15,0.92
auber.csv,0.6,0.92,1.0,1.0,0.65,0.69,0.97,0.32,0.73,0.79,0.69,0.99,0.84,0.71,0.36
bl-toolkit.csv,0.75,0.73,0.82,0.22,0.8,0.54,0.97,0.77,0.77,0.42,1.0,0.73,1.0,1.0,0.58
growl-for-windows.csv,0.0,0.63,0.08,0.78,0.15,0.0,0.42,0.21,0.77,0.24,0.3,0.0,0.54,0.77,0.69
keyczar.csv,0.07,0.02,0.0,0.22,0.2,0.15,0.17,0.04,0.0,0.09,0.3,0.0,0.08,0.79,0.22
kml.csv,0.82,0.92,0.76,1.0,1.0,0.92,0.75,0.98,0.96,0.97,0.77,0.99,1.0,0.71,0.78
knowledge.csv,0.54,0.84,0.84,0.78,0.6,1.0,0.81,0.34,0.92,0.84,0.74,0.97,0.73,0.56,0.36
les-indemodables.csv,0.7,0.61,0.8,0.67,0.7,0.46,0.81,0.64,0.6,0.76,0.21,0.97,0.7,0.58,0.47
lportal.csv,0.04,0.19,0.04,0.0,0.0,0.08,0.28,0.0,0.15,0.13,0.01,0.72,0.54,0.0,0.0
lufa-lib.csv,0.41,0.63,0.7,0.78,1.0,0.77,0.69,0.6,0.73,0.46,0.7,0.84,0.95,0.67,0.28
micomt.csv,0.87,0.98,0.84,0.56,0.75,0.77,0.58,0.98,0.96,0.87,0.5,0.96,0.86,0.44,0.86
sigil.csv,0.6,0.6,0.08,0.11,0.85,0.38,0.03,0.47,0.87,0.37,0.13,0.71,0.62,0.12,0.5
ultimairis.csv,0.62,0.76,0.88,0.44,0.5,0.69,1.0,0.62,0.1,0.57,0.78,1.0,0.35,0.0,0.5
voms.csv,0.56,0.77,0.86,1.0,0.0,0.38,0.61,0.23,0.67,0.43,0.3,0.93,0.59,0.0,0.14
