,0,1,2,3,4,5
moast.csv,[0.88],[0.96],[1.0],[0.96],[0.5],[0.96]
chrysalis.csv,[0.33],[0.33],[0.33],[0.33],[0.33],[0.33]
cortex-vfx.csv,[0.31],[1.0],[0.31],[1.0],[0.8],[1.0]
l2j.csv,[0.64],[0.76],[1.0],[0.76],[0.8],[0.76]
geogebra.csv,[0.0],[0.5],[0.3],[0.5],[0.5],[0.5]
ffigo.csv,[0.73],[0.73],[0.75],[0.73],[0.75],[0.73]
autowikibrowser.csv,[0.57],[0.56],[0.4],[0.56],[1.0],[0.56]
gstreamer.csv,[1.0],[0.64],[0.67],[0.64],[1.0],[0.64]
quantlib.csv,[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
skia.csv,[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
jruby.csv,[0.67],[0.8],[1.0],[0.8],[0.75],[0.8]
chaosrts.csv,[1.0],[0.93],[0.92],[0.93],[1.0],[0.93]
mplayer-ce.csv,[0.46],[0.0],[0.44],[0.0],[0.32],[0.0]
biopax.csv,[1.0],[0.8],[1.0],[0.8],[1.0],[0.8]
linux-ntfs.csv,[0.5],[0.67],[0.4],[0.67],[1.0],[0.67]
growl-for-windows.csv,[0.5],[0.5],[1.0],[0.5],[1.0],[0.5]
synecdoche.csv,[0.0],[0.43],[0.33],[0.43],[0.33],[0.43]
tweetsharp.csv,[0.33],[0.4],[0.33],[0.4],[0.5],[0.4]
sandiaportals.csv,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0]
biodwh.csv,[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
trinitycore.csv,[0.5],[0.0],[0.44],[0.0],[0.67],[0.0]
zemljanka.csv,[1.0],[0.95],[1.0],[0.95],[1.0],[0.95]
tango-cs.csv,[0.67],[0.0],[0.67],[0.0],[0.5],[0.0]
buddata-ebxml-registry.csv,[0.0],[0.88],[0.0],[0.88],[1.0],[0.88]
javaprofiler.csv,[1.0],[0.8],[0.5],[0.8],[0.5],[0.8]
fluent-nhibernate.csv,[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
olex2.csv,[0.14],[0.33],[0.5],[0.33],[0.67],[0.33]
nunit.csv,[0.17],[1.0],[0.5],[1.0],[0.5],[1.0]
tencompetence.csv,[0.0],[0.73],[0.6],[0.73],[0.5],[0.73]
exl.csv,[0.75],[0.5],[0.5],[0.5],[0.5],[0.5]
nativeclient.csv,[1.0],[0.83],[1.0],[0.83],[1.0],[0.83]
codesmith.csv,[0.67],[0.6],[0.0],[0.6],[0.0],[0.6]
stajistics.csv,[0.5],[0.5],[1.0],[0.5],[1.0],[0.5]
oorexx.csv,[0.0],[1.0],[0.0],[1.0],[0.0],[1.0]
crux-framework.csv,[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
ta3d.csv,[1.0],[0.67],[1.0],[0.67],[0.33],[0.67]
web-cat.csv,[0.0],[0.33],[1.0],[0.33],[0.0],[0.33]
ftm.csv,[0.64],[0.71],[0.71],[0.71],[0.0],[0.71]
factor.csv,[1.0],[0.67],[0.75],[0.67],[1.0],[0.67]
hydrate.csv,[0.6],[1.0],[1.0],[1.0],[1.0],[1.0]
elvishrayrenderer.csv,[0.67],[0.33],[1.0],[0.33],[1.0],[0.33]
xamj.csv,[0.0],[0.4],[0.71],[0.4],[0.67],[0.4]
uwom.csv,[0.3],[0.0],[0.59],[0.0],[0.33],[0.0]
rocrail.csv,[0.67],[1.0],[0.8],[1.0],[0.8],[1.0]
columba.csv,[0.75],[0.8],[0.78],[0.8],[0.6],[0.8]
metacosm.csv,[0.6],[0.75],[0.75],[0.75],[1.0],[0.75]
quickfast.csv,[0.88],[0.83],[0.75],[0.83],[1.0],[0.83]
geochat.csv,[0.17],[1.0],[0.0],[1.0],[0.0],[1.0]
natpad.csv,[0.67],[1.0],[1.0],[1.0],[1.0],[1.0]
libarchive.csv,[0.62],[0.6],[1.0],[0.6],[1.0],[0.6]
jcache.csv,[0.0],[0.75],[1.0],[0.75],[0.0],[0.75]
zxing.csv,[1.0],[0.75],[1.0],[0.75],[1.0],[0.75]
arm-webradio.csv,[0.14],[0.8],[0.57],[0.8],[0.8],[0.8]
genoviz.csv,[0.25],[1.0],[0.33],[1.0],[1.0],[1.0]
fulguro.csv,[0.14],[0.0],[0.25],[0.0],[1.0],[0.0]
wikipediardware.csv,[1.0],[1.0],[1.0],[1.0],[0.0],[1.0]
rockbox.csv,[1.0],[1.0],[1.0],[1.0],[0.0],[1.0]
ng4j.csv,[0.5],[0.33],[0.0],[0.33],[0.5],[0.33]
uface.csv,[0.75],[1.0],[1.0],[1.0],[1.0],[1.0]
gisgraphy.csv,[0.33],[1.0],[0.0],[1.0],[0.5],[1.0]
emono.csv,[1.0],[0.8],[1.0],[0.8],[1.0],[0.8]
miranda.csv,[0.65],[0.59],[0.65],[0.59],[0.61],[0.59]
cme.csv,[0.0],[1.0],[0.0],[1.0],[0.0],[1.0]
jmule.csv,[0.17],[0.0],[0.0],[0.0],[1.0],[0.0]
