,nullc.csv,superwaba.csv,sylpheed-claws.csv,flexpay.csv,bacnet.csv,pgui.csv,lufa-lib.csv,xqilla.csv,bibletime.csv
bacnet.csv,0.68,0.66,0.75,0.48,0.92,0.6,0.45,0.67,0.41
bibletime.csv,0.7,0.82,0.88,0.71,0.71,0.85,0.74,1.0,0.98
flexpay.csv,0.42,0.24,0.22,0.85,0.03,0.17,0.4,0.0,0.38
lufa-lib.csv,0.54,0.46,0.55,0.54,0.34,0.55,0.97,0.0,0.39
nullc.csv,0.98,0.94,0.79,0.85,1.0,0.91,0.86,1.0,0.89
pgui.csv,0.34,0.64,0.39,0.27,0.5,0.96,0.69,0.33,0.42
superwaba.csv,0.54,0.96,0.55,0.49,0.45,0.64,0.5,0.67,0.52
sylpheed-claws.csv,0.44,0.58,0.98,0.55,0.58,0.7,0.5,1.0,0.45
xqilla.csv,0.0,0.08,0.0,0.01,0.03,0.0,0.0,1.0,0.02
