,ifmo-game-1.csv,quarkplusplus.csv,dataobjectsdotnet.csv,xapian.csv,pi-qmc.csv,gstreamer.csv,zemljanka.csv
dataobjectsdotnet.csv,0.14,0.4,0.98,0.31,0.23,0.39,0.41
gstreamer.csv,0.22,0.37,0.42,0.49,0.65,0.97,0.45
ifmo-game-1.csv,1.0,0.0,0.0,0.0,0.0,0.0,0.02
pi-qmc.csv,0.16,0.55,0.52,0.48,0.98,0.5,0.93
quarkplusplus.csv,0.13,0.98,0.31,0.24,0.25,0.36,0.15
xapian.csv,0.31,0.49,0.38,0.92,0.47,0.54,0.3
zemljanka.csv,0.15,0.58,0.61,0.37,0.44,0.73,1.0
