,dynalloy.csv,xbplayer.csv,autat.csv,runuomondains.csv,findbugs.csv
autat.csv,0.52,0.56,0.47,0.25,0.59
dynalloy.csv,0.72,0.47,0.12,0.25,0.52
findbugs.csv,0.56,0.6,0.33,0.5,0.53
runuomondains.csv,0.46,0.56,0.44,0.5,0.41
xbplayer.csv,0.4,0.59,0.37,0.32,0.36
