,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,tango-cs.csv,nativeclient.csv
bacula.csv,0.57,0.18,0.48,0.64,0.36,0.48,0.51,0.99,0.45,0.44,0.59,0.61,0.54,0.48,0.62,0.25,0.72,0.4,0.58,0.41
decidr.csv,0.53,0.23,0.55,0.65,0.38,0.4,0.75,0.76,0.39,0.44,0.99,0.66,0.63,0.46,0.56,0.24,0.67,0.45,0.48,0.66
elmo.csv,0.03,0.89,0.02,0.17,0.07,0.0,0.2,0.04,0.03,0.0,0.11,0.09,0.11,0.0,0.32,0.14,0.11,0.0,0.15,0.14
gpac.csv,0.5,0.1,0.34,0.49,0.22,0.35,0.68,0.41,0.4,0.43,0.56,0.97,0.58,0.36,0.61,0.22,0.65,0.17,0.24,0.46
img-browse-sort.csv,0.56,0.19,0.4,0.51,0.4,0.38,0.56,0.5,0.43,0.32,0.56,0.55,0.44,0.36,0.54,0.29,0.6,1.0,0.41,0.54
jajuk.csv,0.65,0.17,0.57,0.96,0.33,0.42,0.64,0.76,0.57,0.61,0.63,0.69,0.63,0.33,0.58,0.27,0.67,0.44,0.44,0.45
ktc.csv,0.98,0.15,0.54,0.68,0.43,0.41,0.43,0.49,0.54,0.4,0.41,0.38,0.38,0.11,0.39,0.2,0.57,0.42,0.51,0.41
nativeclient.csv,0.66,0.12,0.56,0.69,0.35,0.4,0.55,0.69,0.5,0.52,0.69,0.67,0.57,0.29,0.54,0.26,0.74,0.48,0.44,0.99
neoengine.csv,0.53,0.14,0.97,0.61,0.39,0.32,0.62,0.69,0.44,0.45,0.48,0.63,0.6,0.31,0.53,0.19,0.47,0.35,0.42,0.58
nicepress.csv,0.46,0.0,0.45,0.28,0.24,0.28,0.27,0.42,0.49,0.97,0.35,0.25,0.5,0.0,0.44,0.27,0.37,0.26,0.33,0.28
omseek.csv,0.11,0.4,0.02,0.29,0.32,0.06,0.44,0.11,0.08,0.53,0.26,0.25,0.2,0.36,0.29,0.94,0.24,0.12,0.45,0.03
rosegarden.csv,0.65,0.14,0.51,0.52,0.36,0.38,0.65,0.46,0.99,0.34,0.55,0.53,0.48,0.45,0.58,0.21,0.71,0.33,0.58,0.43
sigil.csv,0.45,0.08,0.58,0.64,0.35,0.3,0.6,0.66,0.38,0.45,0.57,0.48,0.35,0.51,0.54,0.31,0.99,0.5,0.29,0.17
smarttag.csv,0.56,0.07,0.57,0.6,0.35,0.38,0.54,0.74,0.49,0.56,0.65,0.67,0.68,0.96,0.53,0.28,0.72,0.51,0.35,0.66
sylpheed-claws.csv,0.54,0.09,0.41,0.46,0.32,0.35,0.67,0.74,0.47,0.48,0.54,0.6,0.97,0.36,0.52,0.29,0.41,0.21,0.53,0.46
tango-cs.csv,0.53,0.0,0.39,0.45,0.21,0.37,0.47,0.15,0.35,0.45,0.32,0.16,0.26,0.31,0.6,0.24,0.71,0.29,0.93,0.72
vapor.csv,0.48,0.0,0.43,0.47,0.2,0.96,0.12,0.47,0.36,0.05,0.56,0.49,0.33,0.4,0.42,0.28,0.58,0.3,0.42,0.08
xemeiah.csv,0.65,0.16,0.58,0.67,0.32,0.4,0.52,0.61,0.56,0.53,0.54,0.6,0.6,0.27,0.94,0.32,0.62,0.32,0.55,0.35
zorannt.csv,0.26,0.18,0.14,0.38,0.95,0.22,0.49,0.32,0.28,0.25,0.41,0.28,0.24,0.41,0.45,0.25,0.28,0.37,0.46,0.56
zscreen.csv,0.58,0.16,0.54,0.65,0.27,0.43,0.99,0.65,0.5,0.56,0.69,0.65,0.55,0.43,0.62,0.27,0.78,0.37,0.45,0.4
