,fritzing.csv,arianne.csv,xuggle.csv,emeraldemu.csv,yield.csv,rsyslog.csv,planeshift.csv,grafx2.csv,wow-qrsk.csv,bacnet.csv,gnupdate.csv,alsa.csv,ardour.csv,multitude.csv,salasaga.csv,keyczar.csv,xmoto.csv,cortex-vfx.csv,gstreamer.csv,linux-ntfs.csv
alsa.csv,0.59,0.43,0.21,0.57,0.46,0.52,0.5,0.55,0.46,0.36,0.29,0.99,0.67,0.4,0.29,0.68,0.47,0.39,0.63,0.42
ardour.csv,0.52,0.35,0.37,0.51,0.39,0.62,0.61,0.66,0.47,0.4,0.25,0.54,0.99,0.56,0.34,0.44,0.58,0.35,0.61,0.62
arianne.csv,0.37,0.99,0.25,0.28,0.51,0.64,0.46,0.57,0.28,0.44,0.31,0.52,0.54,0.44,0.33,0.51,0.41,0.23,0.62,0.51
bacnet.csv,0.37,0.22,0.2,0.41,0.38,0.26,0.56,0.53,0.32,0.99,0.29,0.53,0.49,0.41,0.26,0.63,0.43,0.32,0.43,0.35
cortex-vfx.csv,0.54,0.26,0.3,0.51,0.29,0.68,0.45,0.49,0.45,0.29,0.37,0.42,0.52,0.43,0.3,0.12,0.58,0.95,0.35,0.54
emeraldemu.csv,0.59,0.59,0.31,0.97,0.4,0.49,0.59,0.54,0.41,0.19,0.21,0.21,0.61,0.37,0.38,0.39,0.56,0.23,0.39,0.49
fritzing.csv,0.97,0.53,0.3,0.5,0.71,0.68,0.7,0.74,0.5,0.44,0.38,0.65,0.71,0.49,0.3,0.39,0.52,0.37,0.71,0.61
gnupdate.csv,0.6,0.39,0.28,0.38,0.54,0.54,0.57,0.45,0.34,0.32,0.95,0.47,0.6,0.35,0.33,0.44,0.56,0.4,0.47,0.55
grafx2.csv,0.68,0.46,0.3,0.58,0.26,0.64,0.56,0.97,0.44,0.43,0.27,0.58,0.68,0.58,0.38,0.27,0.58,0.43,0.68,0.57
gstreamer.csv,0.58,0.49,0.3,0.53,0.58,0.64,0.72,0.59,0.4,0.43,0.24,0.62,0.74,0.57,0.34,0.62,0.63,0.38,0.99,0.58
keyczar.csv,0.57,0.61,0.23,0.49,0.62,0.62,0.6,0.58,0.39,0.51,0.31,0.74,0.66,0.7,0.32,0.97,0.54,0.33,0.72,0.49
linux-ntfs.csv,0.43,0.4,0.16,0.45,0.57,0.57,0.59,0.39,0.31,0.24,0.45,0.43,0.52,0.38,0.27,0.53,0.44,0.21,0.41,0.98
multitude.csv,0.6,0.57,0.27,0.53,0.69,0.73,0.76,0.67,0.42,0.52,0.33,0.74,0.72,0.97,0.28,0.61,0.62,0.4,0.67,0.58
planeshift.csv,0.6,0.52,0.23,0.52,0.56,0.62,0.99,0.74,0.35,0.49,0.33,0.68,0.7,0.59,0.34,0.71,0.53,0.31,0.72,0.55
rsyslog.csv,0.65,0.49,0.35,0.52,0.68,0.98,0.7,0.75,0.52,0.47,0.36,0.49,0.68,0.47,0.26,0.04,0.62,0.32,0.6,0.59
salasaga.csv,0.55,0.66,0.14,0.43,0.56,0.59,0.77,0.62,0.26,0.45,0.29,0.72,0.6,0.54,0.94,0.86,0.56,0.36,0.55,0.55
wow-qrsk.csv,0.62,0.43,0.35,0.5,0.47,0.42,0.25,0.09,0.98,0.4,0.26,0.08,0.37,0.48,0.17,0.08,0.43,0.35,0.21,0.44
xmoto.csv,0.45,0.34,0.23,0.59,0.46,0.44,0.58,0.47,0.39,0.31,0.15,0.4,0.68,0.5,0.37,0.51,0.99,0.33,0.62,0.57
xuggle.csv,0.56,0.57,0.9,0.49,0.52,0.65,0.78,0.72,0.24,0.37,0.27,0.33,0.62,0.41,0.0,0.34,0.55,0.2,0.62,0.63
yield.csv,0.64,0.61,0.26,0.55,0.98,0.65,0.79,0.77,0.41,0.52,0.47,0.65,0.71,0.71,0.33,0.73,0.57,0.42,0.69,0.64
