,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.49,0.7,0.52,0.97,0.37,0.39,0.5,0.47,0.6,0.54,0.47,0.61,0.67
echongl.csv,0.54,0.48,0.4,0.37,0.37,0.56,0.45,0.49,0.56,0.91,0.44,0.68,0.86
les-indemodables.csv,0.49,0.51,0.41,0.36,0.45,0.37,0.38,0.48,0.45,0.44,0.83,0.62,0.69
mbse.csv,0.53,0.55,0.46,0.52,0.38,0.39,0.5,0.58,0.37,0.66,0.38,0.46,0.75
ns-3-dev-def-routing.csv,0.58,0.67,0.4,0.36,0.46,0.58,0.57,0.45,0.71,0.54,0.86,0.49,0.44
psycle.csv,0.46,0.48,0.41,0.35,0.34,0.37,0.46,0.43,0.44,0.49,0.36,0.5,0.55
qpe.csv,0.56,0.61,0.57,0.36,0.73,0.84,0.64,0.46,0.48,0.93,0.5,0.55,0.6
simplewebservices.csv,0.51,0.5,0.39,0.36,0.39,0.37,0.41,0.46,0.5,0.49,0.43,0.51,0.42
v8.csv,0.63,0.69,0.56,0.39,0.29,0.59,0.51,0.48,0.54,0.65,0.39,0.78,0.47
wikipediardware.csv,0.49,0.44,0.36,0.36,0.3,0.36,0.4,0.42,0.4,0.49,0.36,0.46,0.48
wxstudio.csv,0.67,0.92,0.57,0.74,0.81,0.42,0.68,0.94,0.42,0.93,0.86,0.56,0.54
xamj.csv,0.49,0.48,0.82,0.37,0.41,0.38,0.42,0.51,0.36,0.67,0.62,0.48,0.46
