,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,0.43,1.0,0.25,0.07,0.2,0.0,1.0,0.47,0.43,0.0,0.54,1.0,1.0,0.79
calcubetimer.csv,0.34,0.25,0.35,0.12,0.26,0.09,1.0,0.62,0.28,0.09,0.62,0.9,0.15,0.66
chaosrts.csv,0.4,0.25,0.35,0.13,0.27,0.08,0.96,0.56,0.34,0.05,0.66,1.0,0.15,0.65
chaperon.csv,0.43,0.0,0.53,0.0,0.19,1.0,0.95,0.0,0.5,0.07,0.57,0.64,0.57,0.73
dxengine.csv,0.47,0.21,1.0,0.44,0.55,0.25,0.9,0.67,0.44,0.13,0.4,0.87,0.52,0.76
emono.csv,0.54,0.25,0.54,0.04,0.3,0.06,1.0,0.61,0.56,0.0,0.54,0.84,0.33,0.99
factor.csv,0.0,0.0,0.0,0.43,0.5,0.0,1.0,0.0,0.14,0.0,0.83,1.0,1.0,1.0
jas.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
jmoney.csv,1.0,0.22,0.61,0.32,0.18,0.17,1.0,0.78,0.25,0.0,0.25,0.84,0.29,0.82
jmonkeyengine.csv,0.17,0.04,0.5,0.29,1.0,0.11,1.0,0.38,0.36,0.05,0.5,0.89,0.82,0.92
matrex.csv,0.59,0.27,0.43,0.38,0.14,0.12,1.0,1.0,0.67,0.11,1.0,0.82,0.25,0.33
primefaces.csv,0.18,0.2,0.36,0.13,0.32,0.06,0.85,0.42,0.34,0.1,1.0,0.93,0.31,0.66
roolo.csv,0.73,0.15,0.0,0.16,0.38,0.0,1.0,0.65,1.0,0.03,0.5,0.78,0.0,0.5
sblim.csv,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.07,0.0,0.0,0.25,1.0,0.78,0.5
