,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,0.15,0.94,0.11,0.05,0.28,0.0,0.62,0.1,0.3,0.0,0.32,0.05,0.02,0.24
calcubetimer.csv,1.0,0.81,1.0,0.41,1.0,0.75,1.0,0.93,0.5,0.88,0.72,1.0,0.05,1.0
chaosrts.csv,1.0,0.81,1.0,0.36,0.83,0.75,0.77,0.92,0.75,0.5,0.88,0.99,0.05,0.99
chaperon.csv,0.3,0.0,0.33,0.0,0.22,1.0,0.38,0.0,0.3,0.12,0.1,0.05,0.2,0.1
dxengine.csv,0.75,0.19,1.0,0.55,0.33,0.25,0.5,0.25,0.55,0.5,0.05,0.24,0.32,0.44
emono.csv,0.35,0.31,0.48,0.05,0.33,0.25,0.43,0.23,0.25,0.0,0.38,0.38,0.05,0.99
factor.csv,0.0,0.0,0.0,0.14,0.22,0.0,0.18,0.0,0.05,0.0,0.12,0.03,1.0,0.01
jas.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.08,0.0,0.0
jmoney.csv,1.0,0.12,0.41,0.36,0.17,0.25,0.34,0.4,0.15,0.0,0.05,0.27,0.05,0.18
jmonkeyengine.csv,0.1,0.06,0.19,0.27,0.89,0.25,0.11,0.07,0.4,0.12,0.08,0.12,0.98,0.14
matrex.csv,0.8,0.25,0.11,0.27,0.11,0.25,0.32,1.0,0.1,0.5,0.02,0.4,0.02,0.01
primefaces.csv,0.3,0.56,0.89,0.23,0.67,0.5,0.3,0.47,0.55,0.88,0.98,0.5,0.1,0.79
roolo.csv,0.4,0.12,0.0,0.23,0.17,0.0,0.21,0.18,0.95,0.12,0.05,0.15,0.0,0.01
sblim.csv,0.05,0.0,0.07,0.95,0.06,0.0,0.05,0.01,0.0,0.0,0.02,0.04,0.68,0.01
