,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,0.02,0.72,0.44,1.0,0.37,0.33,0.77,0.77,0.48,0.26,0.07,0.33,0.56,0.46
encog-cs.csv,0.0,0.93,0.43,0.87,0.43,0.43,0.82,0.93,0.98,0.26,0.04,0.53,0.72,0.5
extprosys.csv,0.03,0.77,0.96,0.78,0.45,0.46,0.74,0.82,0.57,0.38,0.05,0.48,0.52,0.52
intact.csv,0.0,0.92,0.22,0.67,0.28,0.98,0.86,0.46,0.42,0.27,0.1,0.4,0.7,0.38
japano.csv,0.03,0.88,0.45,0.8,0.36,0.36,0.86,1.0,0.52,0.35,0.06,0.46,0.63,0.53
lockss.csv,0.15,0.25,0.12,0.19,0.2,0.06,0.05,0.12,0.28,0.98,0.08,0.21,0.09,0.0
officefloor.csv,0.0,0.12,0.17,0.87,0.31,0.25,0.68,0.87,0.03,0.09,0.94,0.56,0.53,0.57
opennms.csv,0.0,0.28,0.14,0.33,0.96,0.18,0.56,0.17,0.36,0.19,0.05,0.43,0.56,0.35
primefaces.csv,0.03,0.79,0.42,0.69,0.34,0.38,0.68,0.62,0.35,0.2,0.04,0.36,0.99,0.51
rohxel.csv,0.02,0.89,0.42,0.85,0.43,0.46,1.0,0.94,0.53,0.34,0.06,0.45,0.69,0.55
roolo.csv,0.06,0.57,0.26,0.38,0.27,0.28,0.14,0.44,0.3,0.37,0.1,0.95,0.5,0.39
sevenupdate.csv,0.0,1.0,0.44,0.86,0.3,0.4,0.6,0.75,0.51,0.34,0.05,0.36,0.67,0.56
web-cat.csv,0.0,0.31,0.21,0.54,0.31,0.09,0.66,0.54,0.08,0.22,0.02,0.38,0.26,0.97
