,sqlpower-library.csv,jlinalg.csv,array4j.csv,optalgtoolkit.csv,capcode.csv,freenet.csv,intact.csv,pustefix.csv,nassp.csv,fm-classic.csv,haphazard.csv,anaxagora.csv,ipfire-wall.csv,tart.csv,super-tux.csv,soar.csv,hannosset.csv,bzbyte.csv,ondex.csv,web-cat.csv
anaxagora.csv,0.24,0.32,0.38,0.16,0.33,0.39,0.1,0.09,0.5,0.0,0.38,0.95,0.33,0.4,0.35,0.13,0.0,0.14,0.09,0.32
array4j.csv,0.76,0.32,1.0,0.21,0.42,0.38,0.4,0.22,0.08,0.0,0.31,0.24,0.33,0.0,0.4,0.13,0.5,0.14,0.36,0.53
bzbyte.csv,0.61,0.72,0.69,0.79,0.92,0.66,0.7,0.65,0.75,1.0,0.92,0.76,0.83,1.0,0.88,0.1,0.83,1.0,0.61,0.79
capcode.csv,0.22,0.06,0.12,0.0,0.75,0.14,0.27,0.22,0.17,0.0,0.08,0.38,0.17,0.2,0.39,0.87,0.17,0.11,0.24,0.0
fm-classic.csv,0.0,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,1.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
freenet.csv,0.74,0.52,0.5,0.47,0.67,0.99,0.73,0.57,0.33,0.67,0.54,0.57,0.22,0.4,0.58,0.0,0.67,0.42,0.61,0.58
hannosset.csv,0.0,0.0,0.06,0.0,0.0,0.01,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.83,0.02,0.06,0.0
haphazard.csv,0.28,0.22,0.19,0.16,0.08,0.28,0.2,0.0,0.33,0.0,1.0,0.24,0.17,0.0,0.03,0.19,0.0,0.09,0.0,0.32
intact.csv,0.41,1.0,1.0,1.0,0.42,0.56,0.9,0.17,0.42,0.33,0.54,0.71,0.78,0.6,0.35,0.81,1.0,0.47,0.88,0.26
ipfire-wall.csv,0.28,0.46,0.25,0.26,0.33,0.47,0.23,0.3,0.25,0.33,0.38,0.38,1.0,0.4,0.27,0.55,0.17,0.44,0.24,0.21
jlinalg.csv,0.91,0.98,0.94,0.95,1.0,0.88,0.97,0.96,1.0,1.0,1.0,0.86,0.94,0.8,0.96,0.55,0.83,0.86,0.79,1.0
nassp.csv,0.46,0.4,0.44,0.47,0.67,0.49,0.3,0.09,1.0,1.0,0.31,0.52,0.17,0.4,0.07,0.61,0.5,0.39,0.55,0.32
ondex.csv,0.76,0.82,0.12,0.11,0.58,0.58,0.27,0.52,0.5,0.0,0.77,0.14,0.06,0.0,0.21,0.87,0.33,0.23,0.88,0.58
optalgtoolkit.csv,0.57,0.58,0.88,1.0,0.58,0.77,0.67,0.57,0.92,0.33,0.38,0.52,0.94,1.0,0.67,0.58,0.83,0.72,0.48,0.74
pustefix.csv,0.22,0.72,0.31,0.47,0.33,0.23,0.4,1.0,0.0,0.0,0.38,0.48,0.0,0.0,0.08,0.9,0.0,0.54,0.36,0.16
soar.csv,1.0,0.82,0.88,0.95,1.0,0.92,0.93,1.0,1.0,1.0,1.0,0.9,0.83,0.8,0.94,0.97,0.83,0.79,0.82,0.89
sqlpower-library.csv,0.96,0.78,0.56,0.63,0.92,0.78,0.67,0.65,0.75,1.0,0.77,0.86,0.61,0.6,0.77,0.87,1.0,0.79,0.91,0.89
super-tux.csv,1.0,0.56,0.62,0.95,0.83,0.87,0.9,1.0,1.0,1.0,0.85,0.86,1.0,1.0,1.0,0.1,1.0,0.72,0.7,0.79
tart.csv,0.07,0.08,0.25,0.0,0.17,0.1,0.07,0.0,0.0,0.0,0.08,0.19,0.0,1.0,0.03,0.68,0.0,0.19,0.18,0.21
web-cat.csv,0.26,0.34,0.25,0.26,0.25,0.35,0.13,0.22,0.25,0.0,0.15,0.1,0.06,0.0,0.05,0.9,0.17,0.28,0.33,0.95
