,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.42,0.57,0.0,0.33,0.43,0.48,0.0,0.0,0.3,0.62,0.93,0.42,0.62,0.89,0.0,0.0
codepurge.csv,0.36,0.31,0.37,0.39,0.33,0.38,0.48,0.29,0.61,0.3,0.48,0.39,0.36,0.6,0.47,0.36,0.76
fontforge.csv,0.41,0.3,0.41,0.37,0.33,0.35,0.36,0.43,0.42,0.37,0.43,0.41,0.35,0.4,0.37,0.4,0.36
gmerlin.csv,0.0,0.29,0.39,0.37,0.0,0.32,0.36,0.0,0.4,0.0,0.36,0.39,0.35,0.4,0.0,0.43,0.42
hatari.csv,0.43,0.47,0.54,0.42,0.37,0.46,0.47,0.29,0.43,0.33,0.49,0.43,0.63,0.95,0.43,0.75,0.81
jaolt.csv,0.35,0.4,0.43,0.35,0.57,0.49,0.45,0.29,0.43,0.56,0.49,0.42,0.5,0.65,0.51,0.43,0.54
jcl.csv,0.44,0.5,0.47,0.53,0.4,0.43,0.45,0.41,0.6,0.4,0.41,0.95,0.48,0.59,0.56,0.53,0.51
ltp.csv,0.96,0.39,0.46,0.49,0.48,0.44,0.44,0.43,0.58,0.59,0.58,0.79,0.59,0.5,0.47,0.96,0.51
mia.csv,0.49,0.91,0.48,0.44,0.66,0.72,0.55,0.32,0.57,0.35,0.5,0.86,0.8,0.89,0.55,0.53,0.59
net-snmp.csv,0.48,0.41,0.45,0.54,0.32,0.42,0.73,0.29,0.4,0.58,0.44,0.64,0.57,0.63,0.69,0.54,0.53
opde.csv,0.4,0.48,0.42,0.67,0.33,0.43,0.67,0.28,0.53,0.0,0.44,0.4,0.41,0.6,0.45,0.43,0.59
oppna-program-hsatools.csv,0.36,0.4,0.39,0.37,0.35,0.47,0.42,0.27,0.42,0.35,0.44,0.41,0.4,0.95,0.35,0.38,0.46
powerfolder-.csv,0.35,0.46,0.53,0.36,0.52,0.86,0.5,0.47,0.39,0.38,0.53,0.37,0.49,0.67,0.37,0.39,0.51
qlc.csv,0.0,0.31,0.0,0.5,0.8,0.47,0.62,0.0,0.49,0.83,0.82,0.44,0.61,0.91,0.67,0.0,0.8
quantlib.csv,0.4,0.92,0.5,0.0,0.33,0.97,0.0,0.29,0.8,0.37,0.94,0.88,0.86,0.0,0.37,0.38,0.62
tcl.csv,0.53,0.41,0.57,0.42,0.48,0.59,0.53,0.0,0.8,0.47,0.6,0.5,0.43,0.89,0.0,0.95,0.47
