,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,1.0,0.63,0.68,1.0,0.92,0.49,0.62,1.0,1.0,0.65,0.69,0.95,0.61,0.55,0.86,1.0,1.0
codepurge.csv,0.85,0.59,0.85,0.72,0.97,0.53,0.46,0.7,0.88,0.71,0.63,0.73,0.58,0.38,0.59,0.62,0.86
fontforge.csv,1.0,0.83,1.0,1.0,1.0,0.61,1.0,0.41,0.96,1.0,0.51,0.92,0.81,0.98,0.99,0.91,0.99
gmerlin.csv,1.0,0.94,0.72,1.0,1.0,0.75,1.0,1.0,0.85,1.0,0.92,0.74,1.0,0.99,1.0,0.5,0.65
hatari.csv,0.66,0.48,0.43,0.85,0.83,0.56,0.75,0.91,0.93,0.88,0.43,0.93,0.71,0.88,0.85,0.67,0.86
jaolt.csv,0.57,0.59,0.49,0.78,0.63,0.65,0.54,0.62,0.62,0.66,0.43,0.87,0.54,0.57,0.6,0.62,0.66
jcl.csv,0.73,0.52,0.68,0.68,0.58,0.53,0.75,0.64,0.91,0.95,0.5,0.84,0.62,0.74,0.42,0.52,0.87
ltp.csv,0.75,0.72,0.87,0.69,0.49,0.74,1.3,0.65,0.76,0.67,0.45,0.6,0.77,0.79,0.82,0.72,0.72
mia.csv,0.58,0.71,0.62,0.84,0.7,0.74,0.58,0.6,0.86,0.98,0.6,0.54,0.77,0.88,0.83,0.57,0.67
net-snmp.csv,0.53,0.65,0.59,0.55,0.91,0.81,0.4,0.9,0.89,0.81,0.89,0.55,0.66,0.83,0.74,0.68,0.93
opde.csv,1.0,0.66,1.0,0.56,0.93,0.66,0.27,0.67,0.62,1.0,0.48,0.96,0.8,0.58,0.86,0.69,0.68
oppna-program-hsatools.csv,0.74,0.51,0.67,1.0,0.72,0.57,0.81,0.94,0.89,0.95,0.21,0.99,0.67,0.8,0.7,0.66,0.84
powerfolder-.csv,0.66,0.35,0.64,0.8,0.82,0.77,0.21,0.7,0.51,0.73,0.56,0.81,0.64,0.96,0.75,0.64,0.79
qlc.csv,1.0,0.68,1.0,0.66,0.83,0.55,0.29,1.0,0.35,0.9,0.75,0.9,0.69,0.8,0.54,1.0,0.71
quantlib.csv,1.0,0.88,0.93,1.0,1.0,0.91,1.0,1.0,1.0,1.0,0.96,0.95,0.95,1.0,1.0,1.0,0.47
tcl.csv,0.83,0.89,0.86,0.94,0.7,0.73,1.22,1.0,0.69,0.47,0.79,0.97,0.85,0.84,1.0,0.9,0.8
