,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,v8.csv,fluent-nhibernate.csv
encog-java.csv,0.97,0.98,0.54,0.92,0.92,0.67
fluent-nhibernate.csv,0.96,0.83,0.8,0.89,0.96,0.94
h2database.csv,0.97,0.98,0.9,0.97,0.6,0.96
jaql.csv,0.57,0.52,0.65,0.57,0.56,0.74
raven-monitoring.csv,0.52,0.56,0.65,0.72,0.59,0.77
v8.csv,0.62,0.4,0.37,0.38,0.44,0.41
