,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,v8.csv,fluent-nhibernate.csv
encog-java.csv,0.89,0.08,0.63,0.1,0.05,0.06
fluent-nhibernate.csv,0.11,0.04,0.06,0.06,0.13,0.94
h2database.csv,0.05,0.96,0.06,0.21,0.54,0.29
jaql.csv,0.55,0.6,0.31,0.99,0.36,0.59
raven-monitoring.csv,0.61,0.42,0.97,0.35,0.63,0.24
v8.csv,0.48,0.81,0.97,0.86,1.0,0.88
