,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,v8.csv,fluent-nhibernate.csv
encog-java.csv,0.94,0.08,0.48,0.17,0.1,0.1
fluent-nhibernate.csv,0.14,0.07,0.1,0.12,0.22,0.97
h2database.csv,0.05,0.97,0.09,0.3,0.69,0.23
jaql.csv,0.31,0.28,0.38,0.99,0.52,0.39
raven-monitoring.csv,0.18,0.16,0.99,0.4,0.75,0.11
v8.csv,0.19,0.24,0.57,0.55,1.0,0.19
