,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv,fulguro.csv
codepurge.csv,0.18,0.16,0.17,0.15,0.22,0.19,0.12,0.22,0.24,0.17,0.21,0.13,0.19
ctrlr.csv,0.32,0.26,0.51,0.44,0.24,0.39,0.33,0.25,0.24,0.3,0.41,0.35,0.36
dvt.csv,0.3,0.26,0.3,0.24,0.45,0.16,0.36,0.29,0.25,0.32,0.21,0.18,0.32
flylinkdc.csv,0.2,0.26,0.48,0.48,0.16,0.31,0.42,0.22,0.25,0.25,0.26,0.37,0.38
free-evolution.csv,0.33,0.26,0.53,0.22,0.34,0.27,0.28,0.27,0.26,0.28,0.26,0.26,0.22
fulguro.csv,0.35,0.26,0.35,0.51,0.45,0.32,0.29,0.29,0.26,0.35,0.41,0.37,0.21
fw4spl.csv,0.24,0.15,0.2,0.19,0.26,0.18,0.24,0.24,0.25,0.28,0.19,0.19,0.27
ipfire-wall.csv,0.2,0.17,0.23,0.13,0.41,0.17,0.21,0.2,0.25,0.21,0.12,0.23,0.18
ldview.csv,0.36,0.26,0.45,0.46,0.31,0.36,0.36,0.36,0.25,0.34,0.4,0.37,0.39
nuttx.csv,0.26,0.24,0.48,0.25,0.38,0.2,0.28,0.29,0.24,0.36,0.33,0.19,0.37
uclmda.csv,0.22,0.26,0.47,0.47,0.36,0.22,0.33,0.25,0.25,0.27,0.2,0.18,0.29
vdsf.csv,0.33,0.2,0.49,0.51,0.4,0.34,0.41,0.35,0.25,0.37,0.44,0.35,0.28
xcf.csv,0.26,0.18,0.35,0.15,0.22,0.2,0.31,0.27,0.24,0.25,0.17,0.26,0.26
