,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv,fulguro.csv
codepurge.csv,0.66,0.72,0.8,0.61,0.64,0.58,0.99,0.62,0.67,0.44,0.6,0.89,0.78
ctrlr.csv,0.79,1.0,0.91,0.91,0.75,0.94,0.37,0.89,0.64,1.0,0.84,0.73,0.7
dvt.csv,0.76,0.99,0.67,0.43,0.94,0.68,0.64,0.8,0.5,0.69,0.61,0.61,1.0
flylinkdc.csv,0.36,0.97,0.87,0.91,0.68,0.79,0.85,0.54,1.19,0.6,0.69,0.96,0.83
free-evolution.csv,0.95,1.0,1.0,0.68,0.64,0.58,0.51,0.78,1.0,0.58,0.56,0.57,0.51
fulguro.csv,1.0,0.99,0.79,1.0,1.0,0.78,0.95,0.57,1.0,0.74,0.83,0.94,0.47
fw4spl.csv,0.61,0.69,0.78,0.88,0.83,0.48,0.69,0.62,0.95,0.65,0.52,0.68,0.69
ipfire-wall.csv,0.64,0.62,0.83,0.77,0.96,0.74,0.9,0.35,1.12,0.8,0.85,0.65,0.62
ldview.csv,0.98,0.95,0.81,0.96,0.42,0.83,0.87,1.0,0.86,0.84,0.73,0.84,0.8
nuttx.csv,0.55,0.97,0.51,0.56,0.69,0.68,0.62,0.95,0.75,0.71,0.61,0.45,0.9
uclmda.csv,0.87,1.0,0.86,0.89,0.86,0.78,0.77,0.9,0.01,0.8,0.76,0.76,0.92
vdsf.csv,0.85,0.66,0.97,0.83,0.71,0.84,0.87,0.81,1.08,0.82,0.88,0.85,0.46
xcf.csv,0.64,0.5,0.72,0.6,0.52,0.61,0.58,0.65,1.15,0.9,0.79,0.37,0.63
