,project,score
0,greenDAO,"[0.5835497835497835, 0.5811138014527845, 0.5952380952380952, 0.1725113818137074, 0.7110016420361248, 0.5513784461152883, 0.7039072039072038, 0.7261904761904762, 0.5262515262515262, 0.8857142857142857]"
1,Android-Universal-Image-Loader,"[0.49769950032157523, 0.6988505747126437, 0.4332833583208396, 0.6873420432640822, 0.4222222222222222, 0.2949039264828738, 0.7172161172161172, 0.8132114798781466, 0.8081314397103871, 0.4409991386735573]"
2,picasso,"[0.6269565217391304, 0.46875000000000006, 0.5615384615384617, 0.7517482517482517, 0.60393332745392, 0.6548089591567852, 0.8280936454849498, 0.7741626794258373, 0.6677511961722488, 0.380564263322884]"
3,leakcanary,"[0.49951219512195116, 0.4902463054187192, 0.48, 0.5541439806412584, 0.4455486542443064, 0.7109974424552429, 0.6134579768939059, 0.69041608228144, 0.6521739130434783, 0.6134579768939059]"
4,ionic,"[0.4057562766089052, 0.33160814328578586, 0.4701325738799715, 0.3236787810033494, 0.6043539704142041, 0.4957281467239561, 0.28450555523638305, 0.4735884923027839, 0.306839911512074, 0.4825509473388007]"
5,logger,"[0.5, 0.2, 0.5, 1.0, 0.5333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 1.0, 0.3333333333333333]"
6,Calligraphy,"[0.39682539682539686, 0.39682539682539686, 0.6190476190476191, 0.7333333333333334, 0.3333333333333333, 0.8571428571428571, 0.2571428571428571, 0.42857142857142855, 0.8571428571428571, 0.4047619047619047]"
7,dinghy,"[0.7511312217194571, 0.6495726495726496, 0.4193061840120663, 0.7511312217194571, 0.6807692307692308, 0.5211538461538463, 0.5384615384615384, 0.4193061840120663, 0.9090909090909091, 0.2424242424242424]"
8,mongo,"[0.5507285562947718, 0.5140508368634907, 0.5736120474284735, 0.5992139913310481, 0.5922464436449344, 0.5193387179463694, 0.43714155064265336, 0.232009320965811, 0.4450452862061263, 0.4381650271332758]"
9,AndroidViewAnimations,"[0.8285714285714286, 0.0, 0.7333333333333334, 0.3333333333333333, 0.7333333333333334, 0.2, 0.7333333333333334, 0.3333333333333333, 0.3333333333333333, 0.7333333333333334]"
10,abinit,"[0.5399556265464267, 0.6112511384121065, 0.40017102143112304, 0.6307255340056013, 0.31780129582905026, 0.31572313934408347, 0.5504817762882279, 0.40461781620139387, 0.37686676667568386, 0.3926786251989504]"
11,RxPermissions,"[0.7777777777777779, 0.40115440115440115, 0.6406926406926408, 0.7777777777777779, 0.6580086580086579, 0.6580086580086579, 0.7777777777777779, 0.3333333333333333, 0.2571428571428571, 0.4155844155844156]"
12,thanos,"[0.5027472527472527, 0.48897357185702695, 0.5532817879112817, 0.514017521902378, 0.48519218651543794, 0.3728723873357439, 0.6956521739130433, 0.6495388669301713, 0.6101863354037266, 0.4211129729253021]"
13,Android-ObservableScrollView,"[0.5244019138755981, 0.86, 0.5122171945701358, 0.8, 0.36, 0.5031055900621119, 0.4688644688644689, 0.543956043956044, 0.924009324009324, 0.36299648064353945]"
14,RefactoringMiner,"[0.39506172839506165, 0.7251461988304093, 0.7777777777777778, 0.5614170692431563, 0.7154911433172302, 0.48596491228070177, 0.5933333333333333, 0.4106666666666667, 0.7967793880837359, 0.4966666666666667]"
15,canal,"[0.7759440559440559, 0.7704335465529494, 0.7706293706293706, 0.7214478884959434, 0.7363636363636363, 0.05836753305973553, 0.765483476132191, 0.7962962962962964, 0.047619047619047616, 0.8324324324324324]"
16,ubiquity,"[0.36349331235247845, 0.4271439811172305, 0.4271439811172305, 0.4271439811172305, 0.2827614716825134, 0.33983739837398375, 0.7076655052264808, 0.38714733542319746, 0.35, 0.6839999999999999]"
17,alfresco-android-app,"[0.4164408310749774, 0.7058823529411765, 0.3358139534883721, 0.3333333333333333, 0.4909862142099682, 0.3333333333333333, 0.6862745098039216, 0.4909862142099682, 0.3333333333333333, 0.3333333333333333]"
18,rasa_nlu,"[0.5110629175607934, 0.409986388709793, 0.2649330181245075, 0.5947171179883946, 0.2935810028355474, 0.5116775808148982, 0.5257551036139625, 0.4406273420354318, 0.5609306644005917, 0.5474842693371572]"
19,rhino,"[0.5688585703761793, 0.613046194541989, 0.6486876800129813, 0.4982384489595835, 0.7180173092053502, 0.4700696480938417, 0.35590845149523165, 0.5157930107526881, 0.5897644760371392, 0.46972152290741725]"
20,hydrus,"[0.6566666666666666, 0.5338235294117646, 0.33729729729729735, 0.44194139194139187, 0.3619791666666667, 0.38063063063063063, 0.38063063063063063, 0.6441471571906354, 0.309462915601023, 0.309462915601023]"
21,istio,"[0.5441486508349382, 0.2547798204753636, 0.5122159564174089, 0.44877127807308914, 0.29917153207472147, 0.4509718724268246, 0.25970789740159833, 0.5004065010531307, 0.4398739873987399, 0.42800417972831767]"
22,wagtail,"[0.5712561488687907, 0.5646600896206181, 0.5552795780285334, 0.524728804127536, 0.5633435886739323, 0.5691413305237808, 0.5920313806249655, 0.629985420579223, 0.5444965123134055, 0.5245595609012248]"
23,grin,"[0.5508385800835881, 0.47822944896115627, 0.447519916764477, 0.5310569105691058, 0.5926787952238641, 0.5447154471544715, 0.657943132907265, 0.6892797837761448, 0.4931346575397733, 0.6520209729873233]"
24,kbc-ui,"[0.5988397570053693, 0.17780625816124196, 0.5345793644440887, 0.18286591195717278, 0.6749250547467265, 0.1785783272165347, 0.5970491636326604, 0.24053063435862573, 0.17739557739557738, 0.3123235527359238]"
25,GSYVideoPlayer,"[0.7222672064777328, 0.5327687033676145, 0.6336429308565531, 0.376068376068376, 0.42361111111111105, 0.7015729368670546, 0.24019607843137258, 0.5822021116138762, 0.5326797385620915, 0.642156862745098]"
26,MaterialDrawer,"[0.6381827128095785, 0.7910447761194029, 0.7722488038277513, 0.7564365459102301, 0.696969696969697, 0.6709073213728263, 0.46036544101060234, 0.2686517783291977, 0.5235193564605328, 0.47320099255583126]"
27,storm,"[0.5574722151203886, 0.34016830627000116, 0.3528807724846116, 0.5925189947399182, 0.6078160919540231, 0.4839901477832512, 0.39233716475095787, 0.4865812117274106, 0.4892344497607656, 0.5724173958469374]"
28,jadx,"[0.4745903496186665, 0.3937982720667761, 0.5705532212885154, 0.5688007331762241, 0.6754560530679933, 0.6206333921788904, 0.5602154791977355, 0.20833333333333334, 0.14224598930481283, 0.5528255528255529]"
29,weka-3.8,"[0.6481338481338482, 0.4791489361702127, 0.39225422045680236, 0.305019305019305, 0.47181467181467185, 0.3333333333333333, 0.5804195804195804, 0.7222222222222222, 0.7777777777777778, 0.3779448621553885]"
30,arthas,"[0.7337909992372235, 0.4143401983218917, 0.6859649122807018, 0.46783625730994155, 0.37406559877955764, 0.631578947368421, 0.5102880658436213, 0.6388888888888888, 0.33333333333333337, 0.48148148148148157]"
31,Signal-Android,"[0.49075783750458774, 0.4029316147511637, 0.4678035766124016, 0.5788213581028953, 0.6670635138204634, 0.598761893843861, 0.5637558710657977, 0.6689778742726409, 0.5707241811125996, 0.6065182892243823]"
32,entt,"[0.7163636363636364, 0.7058943296345312, 0.5745454545454545, 0.7468148549742477, 0.554919734643237, 0.587487781036168, 0.4903225806451612, 0.6823712507074136, 0.6358434192535575, 0.6358434192535575]"
33,disruptor,"[0.46675056431153994, 0.34745383681553893, 0.787001287001287, 0.8093199582561286, 0.46675056431153994, 0.4677391677391676, 0.20574350904799368, 0.7164351851851853, 0.4852130325814536, 0.6727716727716728]"
34,insolar,"[0.43235630708084205, 0.5141240587427716, 0.2470547997263814, 0.3165366748979568, 0.482213727481151, 0.46578370866633895, 0.48376406729454957, 0.24669768742769238, 0.4614770833417937, 0.5578226468446114]"
35,ZfcUser,"[0.5555555555555556, 0.7647058823529412, 0.2941176470588236, 1.0, 0.45811051693404636, 0.7663398692810457, 0.35759125784701234, 0.8247678018575852, 0.5737874097007224, 0.5460030165912518]"
36,flask,"[0.5619490288929467, 0.2427128427128427, 0.46504796163069545, 0.6093268242548817, 0.7272879014795827, 0.5365112617839468, 0.24147157190635454, 0.580681402995981, 0.4841581868640148, 0.4133672763002166]"
37,apollo,"[0.48129296321561627, 0.5899632802937577, 0.5224373309479692, 0.6972351662006835, 0.6556907311624293, 0.509034749034749, 0.6348050177837411, 0.42506142506142497, 0.4534534534534534, 0.44751773049645394]"
