,project,score
0,bzbyte.csv,"[0.71, 0.34, 0.71, 0.55, 0.68]"
1,freedom-erp.csv,"[0.77, 0.82, 0.86, 0.76, 0.85]"
2,twostep.csv,"[1.0, 0.52, 0.48, 0.78, 0.88]"
3,iaml.csv,"[0.53, 0.64, 0.52, 0.81, 0.45]"
4,etics.csv,"[0.88, 0.88, 0.51, 0.62, 0.54]"
5,neoengine.csv,"[0.56, 0.58, 0.6, 0.55, 0.85]"
6,nsis.csv,"[0.25, 0.88, 0.67, 0.67, 0.26]"
7,vdsf.csv,"[0.6, 0.9, 0.88, 0.89, 0.88]"
8,monetdb.csv,"[0.71, 0.85, 0.51, 0.84, 0.6]"
9,amygdala.csv,"[0.33, 0.6, 0.79, 0.66, 0.64]"
10,ikvm.csv,"[0.73, 1.0, 0.43, 0.49, 0.62]"
11,jicarilla.csv,"[0.8, 0.27, 0.67, 0.89, 0.66]"
12,metacosm.csv,"[0.56, 0.62, 0.75, 0.27, 1.0]"
13,mplayer-ce.csv,"[0.39, 0.67, 0.4, 0.48, 0.5]"
14,moviesandbox.csv,"[0.64, 0.52, 0.54, 0.7, 0.67]"
15,uwom.csv,"[0.09, 0.83, 0.72, 0.75, 0.75]"
16,geotools.csv,"[0.79, 0.54, 0.59, 0.62, 0.57]"
17,jrdf.csv,"[0.53, 0.4, 0.8, 0.89, 0.9]"
18,ng4j.csv,"[0.71, 0.61, 0.27, 0.89, 0.72]"
19,bloodycore.csv,"[0.76, 0.61, 0.72, 0.76, 0.68]"
20,jahshakafx.csv,"[0.7, 0.69, 0.79, 0.8, 0.83]"
21,jstock.csv,"[0.65, 0.86, 1.0, 1.0, 0.85]"
22,nassp.csv,"[0.68, 1.0, 0.76, 0.79, 1.0]"
23,soar.csv,"[0.35, 0.42, 0.75, 0.86, 0.84]"
24,xbplayer.csv,"[0.54, 0.56, 0.52, 0.42, 0.83]"
25,scite-ru.csv,"[0.62, 0.71, 0.58, 0.68, 0.69]"
26,mobicents.csv,"[0.65, 0.72, 0.37, 0.51, 0.59]"
27,jcache.csv,"[0.82, 0.91, 1.0, 0.89, 1.0]"
28,flylegacy.csv,"[0.73, 0.9, 0.48, 0.06, 0.69]"
29,mcmc-jags.csv,"[0.88, 1.0, 0.52, 1.0, 1.0]"
30,mcore3d.csv,"[0.24, 0.53, 0.5, 0.67, 0.7]"
31,gdis.csv,"[0.73, 0.89, 0.8, 0.69, 0.67]"
32,liferea.csv,"[0.86, 0.75, 0.58, 0.65, 0.76]"
33,nova.csv,"[0.64, 0.64, 0.88, 0.75, 1.0]"
34,fleet-simulator.csv,"[0.84, 1.0, 1.0, 1.0, 1.0]"
35,japano.csv,"[0.62, 0.29, 0.78, 0.88, 0.31]"
36,qmcpack.csv,"[0.7, 0.35, 0.74, 0.5, 0.87]"
37,gnukeda.csv,"[0.51, 0.9, 0.34, 0.27, 0.4]"
38,powerfolder-.csv,"[0.61, 0.68, 0.73, 0.6, 0.63]"
39,jparsec.csv,"[0.61, 0.48, 0.8, 0.32, 0.69]"
40,adonthell.csv,"[0.73, 0.66, 0.78, 0.4, 0.42]"
41,k3d.csv,"[0.57, 0.83, 0.86, 0.77, 0.17]"
42,fmri-dmt.csv,"[0.85, 0.71, 0.78, 0.22, 0.93]"
43,amanda.csv,"[0.33, 0.62, 0.58, 0.71, 0.48]"
44,jaql.csv,"[0.22, 0.33, 0.48, 0.33, 0.28]"
45,vars-redux.csv,"[0.61, 0.62, 0.48, 0.3, 0.71]"
46,megameknet.csv,"[0.79, 0.83, 0.81, 0.78, 0.56]"
47,autoopencas.csv,"[0.49, 0.78, 0.66, 0.7, 0.67]"
48,arianne.csv,"[0.68, 0.86, 0.54, 0.56, 0.46]"
49,sumatrapdf.csv,"[0.65, 0.74, 0.75, 0.6, 0.9]"
50,powerfolder.csv,"[0.91, 0.95, 0.91, 0.95, 0.91]"
51,openxava.csv,"[0.95, 0.95, 0.48, 0.89, 0.92]"
52,elateportal.csv,"[0.87, 1.0, 0.87, 0.76, 0.76]"
53,lcfizvtop.csv,"[0.08, 0.48, 0.79, 0.63, 0.87]"
54,arm-webradio.csv,"[0.89, 0.89, 0.84, 0.83, 0.83]"
55,geogebra.csv,"[0.67, 0.63, 0.54, 0.57, 0.7]"
56,dvd-create.csv,"[0.93, 0.78, 0.9, 0.39, 0.69]"
57,xinity.csv,"[0.53, 0.48, 0.24, 0.65, 0.35]"
58,jython.csv,"[0.96, 0.89, 1.0, 0.92, 0.79]"
59,gnupdate.csv,"[0.73, 0.82, 0.8, 0.86, 0.82]"
60,gstreamer.csv,"[0.81, 0.5, 0.6, 0.75, 0.45]"
61,plearn.csv,"[0.76, 0.56, 0.6, 0.47, 0.6]"
62,gpac.csv,"[0.64, 0.55, 0.55, 0.64, 0.77]"
63,quark.csv,"[0.69, 0.78, 0.9, 0.69, 0.63]"
64,xemeiah.csv,"[0.75, 0.39, 0.57, 0.79, 0.63]"
65,unflobtactical.csv,"[0.89, 0.77, 0.75, 0.71, 0.26]"
66,web-cat.csv,"[0.47, 0.7, 0.49, 1.0, 0.83]"
67,biodwh.csv,"[0.83, 0.56, 0.57, 0.68, 0.74]"
68,buddata-ebxml-registry.csv,"[0.91, 0.8, 0.85, 1.0, 1.0]"
69,crisscross.csv,"[0.83, 0.6, 0.88, 0.82, 0.55]"
70,ofbiz.csv,"[0.55, 0.27, 0.14, 0.4, 0.65]"
71,mptvseries.csv,"[0.87, 0.85, 0.46, 0.33, 0.81]"
72,freelords.csv,"[0.75, 0.68, 0.86, 0.8, 0.85]"
73,delphilhlplib.csv,"[0.71, 0.89, 0.87, 0.69, 0.78]"
74,wow-qrsk.csv,"[0.79, 0.8, 0.5, 0.17, 0.56]"
