,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,jasperreports.csv,bwapi.csv,irplus.csv,nebuladevice.csv,javaprofiler.csv,exl.csv
bwapi.csv,0.6,0.72,0.5,0.49,0.53,0.51,0.45,0.13,0.45,0.29,0.43,0.7,0.49,0.44,0.98,0.42,0.58,0.52,0.0
co-ode-owl-plugins.csv,0.46,0.61,0.56,0.61,0.65,0.66,0.55,0.5,0.17,0.95,0.6,0.51,0.68,0.13,0.36,0.42,0.41,0.0,0.79
exl.csv,0.56,0.74,0.47,0.74,0.78,0.71,0.65,0.63,0.63,0.69,0.67,0.44,0.52,0.87,0.27,0.6,0.66,0.59,1.0
firebreath.csv,0.61,0.66,0.6,0.58,0.69,0.62,0.44,0.97,0.52,0.46,0.71,0.54,0.48,0.42,0.37,0.41,0.31,0.48,0.47
irplus.csv,0.44,0.37,0.0,0.67,0.3,0.44,0.34,0.53,0.52,0.0,0.2,0.63,0.47,0.48,0.38,0.97,0.55,0.27,0.42
jasperreports.csv,0.0,0.44,0.0,0.29,0.13,0.13,0.33,0.12,0.0,0.65,0.09,0.4,0.56,0.97,0.04,0.48,0.0,0.09,0.09
javaprofiler.csv,0.61,0.72,0.45,0.59,0.48,0.13,0.63,0.58,0.6,0.67,0.67,0.45,0.55,0.75,0.29,0.56,0.3,1.0,0.47
konversation.csv,0.05,0.26,0.4,0.93,0.09,0.39,0.28,0.15,0.12,0.44,0.16,0.53,0.2,0.36,0.07,0.28,0.37,0.05,0.49
lazarus-ccr.csv,0.97,0.54,0.11,0.67,0.68,0.63,0.51,0.55,0.52,0.49,0.11,0.62,0.7,0.45,0.6,0.41,0.46,0.34,0.71
linuxsh.csv,0.35,0.42,1.0,0.66,0.52,0.64,0.47,0.51,0.52,0.31,0.59,0.44,0.36,0.79,0.45,0.28,0.31,0.52,0.54
migen.csv,0.37,0.34,0.48,0.62,0.48,0.6,0.98,0.16,0.22,0.2,0.3,0.51,0.26,0.58,0.07,0.36,0.55,0.57,0.59
moviesandbox.csv,0.41,0.45,0.71,0.7,0.64,0.94,0.6,0.46,0.28,0.2,0.37,0.66,0.47,0.66,0.22,0.55,0.24,0.32,0.62
mvnforum.csv,0.24,0.2,0.0,0.2,0.46,0.47,0.25,0.34,0.06,0.07,0.26,0.37,0.82,0.1,0.09,0.14,0.0,0.27,0.02
nebuladevice.csv,0.37,0.07,0.0,0.61,0.18,0.09,0.37,0.16,0.6,0.07,0.11,0.09,0.07,0.63,0.06,0.1,1.0,0.16,0.12
ontomorphtab.csv,0.51,0.99,0.57,0.78,0.69,0.64,0.61,0.59,0.17,0.61,0.58,0.68,0.69,0.82,0.28,0.68,0.61,0.35,0.7
opengs.csv,0.51,0.41,0.41,0.62,0.54,0.69,0.6,0.26,0.17,0.38,0.97,0.56,0.39,0.65,0.15,0.48,0.23,0.37,0.57
scite-ru.csv,0.63,0.66,0.0,0.67,0.76,0.69,0.6,0.57,0.87,0.77,0.66,0.0,0.27,0.0,0.0,0.59,0.38,0.0,0.68
tokratan.csv,0.29,0.38,0.0,0.58,0.49,0.36,0.62,0.42,0.53,0.21,0.22,0.89,0.32,0.5,0.11,0.31,0.68,0.19,0.14
xuggle.csv,0.46,0.41,0.27,0.67,0.89,0.54,0.32,0.43,0.44,0.57,0.69,0.51,0.44,0.34,0.58,0.46,0.61,0.63,0.62
