,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.66,0.14,0.71,0.42,0.58,0.5,0.57,0.58,0.51,0.46
gamestone.csv,0.17,0.87,0.13,0.45,0.47,0.0,0.0,0.47,0.27,0.12
gbif-providertoolkit.csv,0.17,0.0,0.52,0.62,0.65,0.6,0.43,0.65,0.54,0.0
heekscad.csv,0.76,0.64,0.63,0.58,0.72,0.51,0.65,0.6,0.77,0.66
igarden.csv,0.57,0.63,0.44,0.67,0.53,0.64,0.49,0.32,0.89,0.55
levent.csv,0.66,0.15,0.06,0.0,0.61,0.69,0.56,0.1,0.0,0.18
owlapi.csv,0.48,0.0,0.43,0.19,0.62,0.63,0.46,0.76,0.77,0.64
pnotepad.csv,0.65,0.77,0.62,0.17,0.32,0.59,0.62,0.41,0.0,0.86
quark.csv,0.4,0.29,0.41,0.07,0.34,0.02,0.04,0.19,0.83,0.27
xcsoar.csv,0.67,0.29,0.74,0.58,0.69,0.41,0.53,0.58,0.0,0.34
