,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,jcl.csv,quantlib.csv
chipster.csv,0.0,0.49,0.43,0.05,0.38,0.57,0.0,0.05,0.17,0.0
fontforge.csv,0.17,0.56,0.0,0.0,0.0,0.65,0.09,0.74,0.05,0.05
hatari.csv,0.61,0.71,0.69,0.53,0.48,0.6,0.65,0.24,0.49,0.33
jcl.csv,0.71,0.56,0.61,0.41,0.68,0.51,0.73,0.59,0.47,0.55
ltp.csv,0.28,0.57,0.42,0.64,0.72,0.56,0.0,0.42,0.46,0.62
net-snmp.csv,0.63,0.57,0.44,0.46,0.52,0.48,0.95,0.0,0.24,0.28
opde.csv,0.0,0.45,0.0,0.62,0.0,0.58,0.92,0.5,0.41,0.33
powerfolder-.csv,0.6,0.75,0.51,0.09,0.61,0.3,0.88,0.15,0.53,0.42
quantlib.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64
