,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.5,0.55,0.96,0.47,0.67,0.87,0.69,0.65,0.41,0.98
geotools.csv,0.1,0.31,0.24,0.04,0.75,0.13,0.94,0.59,0.06,0.23
gephex.csv,0.55,0.57,0.72,0.44,0.65,0.6,0.69,0.93,0.34,0.44
haggle.csv,0.1,1.0,0.2,0.09,0.42,0.07,0.2,0.3,0.14,0.0
java-gnome.csv,0.45,0.41,0.68,0.95,0.5,0.6,0.55,0.7,0.25,0.53
jgnash.csv,0.4,0.31,1.0,0.07,0.19,0.2,0.36,0.27,0.14,0.28
jrdf.csv,0.1,0.18,0.44,0.49,0.12,0.87,0.4,0.11,0.17,0.19
mpqc.csv,0.8,0.34,0.16,0.25,0.42,0.47,0.33,0.34,0.6,0.62
panda3d.csv,0.0,0.2,0.08,0.51,0.88,0.07,0.12,0.25,0.28,0.36
tencompetence.csv,0.5,0.09,0.48,0.49,0.15,0.87,0.46,0.11,1.0,0.08
