,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.47,0.4,0.39,0.62,0.44,0.36,0.42,0.36,0.43,0.44
geotools.csv,0.68,0.8,0.96,0.67,0.44,0.89,0.7,0.47,0.94,0.95
gephex.csv,0.75,0.55,0.48,0.67,0.57,0.6,0.4,0.5,0.47,0.54
haggle.csv,0.78,0.56,0.95,0.9,0.62,0.75,0.98,0.55,0.89,0.0
java-gnome.csv,0.79,0.47,0.55,0.44,0.51,0.58,0.42,0.42,0.53,0.5
jgnash.csv,0.56,0.78,0.96,0.75,0.96,0.9,0.57,0.72,0.78,0.62
jrdf.csv,0.94,0.96,0.62,0.47,0.94,0.92,0.54,0.92,0.72,0.75
mpqc.csv,0.94,0.97,0.94,0.94,0.75,0.51,0.83,0.67,0.72,0.56
panda3d.csv,0.88,0.9,0.89,0.54,0.79,0.67,0.98,0.88,0.83,0.96
tencompetence.csv,0.97,0.94,0.72,0.52,0.94,0.4,0.64,0.93,0.62,0.94
