,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.87,1.0,0.69,0.81,0.73,0.77,0.32,0.9,0.53,0.79,0.92,0.74
dvt.csv,0.6,0.88,0.99,0.4,0.83,0.92,0.63,0.7,0.51,0.69,0.95,0.95
flylinkdc.csv,0.38,0.98,0.8,0.92,0.68,0.76,0.72,0.51,1.13,1.0,0.96,0.82
fulguro.csv,1.0,1.0,0.83,1.0,1.0,0.77,0.88,0.49,1.0,0.67,0.77,0.43
fw4spl.csv,0.71,0.71,0.74,0.73,0.84,0.5,0.75,0.67,1.02,0.8,0.67,0.77
ipfire-wall.csv,0.63,0.59,0.83,0.81,1.0,0.79,0.91,0.27,1.01,0.57,0.89,0.64
jruby.csv,1.0,1.0,1.0,0.66,1.0,0.83,1.0,1.0,0.68,0.49,0.96,1.0
ldview.csv,0.74,0.66,0.82,0.83,0.47,0.61,1.0,0.67,0.68,0.78,0.92,0.52
nuttx.csv,0.64,0.95,0.56,0.87,0.72,0.68,0.6,0.91,0.48,0.84,0.67,0.93
oorexx.csv,0.65,0.8,0.94,0.8,0.62,0.55,0.87,0.83,0.88,0.81,0.47,0.67
uclmda.csv,0.86,1.0,0.85,0.86,0.79,0.81,0.73,0.96,0.01,0.99,1.0,0.92
vdsf.csv,0.84,0.65,1.0,0.81,0.66,0.9,0.85,0.89,0.84,0.95,0.93,0.73
