,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.56,0.0,0.28,0.38,0.3,0.39,0.29,0.35,0.5,0.21,0.24,0.58
dvt.csv,0.48,0.86,0.0,0.31,0.49,0.07,0.36,0.54,0.5,0.32,0.24,0.48
flylinkdc.csv,0.24,0.96,0.74,0.91,0.27,0.55,0.58,0.32,0.67,1.0,0.96,0.81
fulguro.csv,0.0,0.0,0.69,0.01,0.0,0.66,0.34,0.41,0.0,0.26,0.16,0.23
fw4spl.csv,0.55,0.29,0.33,0.4,0.35,0.25,0.42,0.54,0.5,0.16,0.08,0.54
ipfire-wall.csv,0.2,0.3,0.49,0.2,0.08,0.18,0.41,0.24,0.17,0.21,0.44,0.33
jruby.csv,1.0,1.0,1.0,0.54,0.05,0.39,0.03,0.05,0.67,0.42,0.96,0.0
ldview.csv,0.74,0.57,0.74,0.28,0.32,0.23,0.02,0.65,0.67,0.26,0.92,0.25
nuttx.csv,0.3,0.08,0.46,0.17,0.68,0.22,0.29,0.62,0.33,0.42,0.28,0.18
oorexx.csv,0.61,0.19,0.08,0.26,0.57,0.33,0.14,0.76,0.83,0.16,0.36,0.49
uclmda.csv,0.35,0.01,0.1,0.05,0.43,0.18,0.14,0.49,0.0,0.0,0.0,0.14
vdsf.csv,0.8,0.15,0.95,0.79,0.59,0.46,0.8,0.89,0.67,0.95,0.92,0.72
