,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.18,0.0,0.86,0.24,0.39,0.11,0.51,0.19,0.98,0.88,0.4,0.12
dvt.csv,0.33,0.08,1.0,0.5,0.28,0.14,0.32,0.33,0.98,0.89,0.33,0.05
flylinkdc.csv,0.52,0.08,0.82,0.29,0.44,0.12,0.26,0.48,0.78,0.86,0.59,0.14
fulguro.csv,0.0,0.0,0.79,0.0,0.0,0.12,0.17,0.46,0.0,0.91,0.69,0.28
fw4spl.csv,0.27,0.11,0.83,0.29,0.28,0.25,0.24,0.35,0.86,0.9,0.86,0.1
ipfire-wall.csv,0.43,0.13,0.76,0.31,0.0,0.16,0.14,0.64,0.0,0.94,0.42,0.16
jruby.csv,0.27,0.09,0.83,0.32,0.0,0.09,0.0,0.0,0.97,0.92,0.6,0.0
ldview.csv,0.32,0.1,0.81,0.24,0.54,0.22,0.0,0.38,0.97,0.87,0.61,0.23
nuttx.csv,0.35,0.06,0.88,0.26,0.39,0.2,0.37,0.21,0.98,0.81,0.67,0.07
oorexx.csv,0.32,0.1,0.79,0.28,0.43,0.2,0.27,0.3,0.96,0.9,0.74,0.13
uclmda.csv,0.19,0.0,0.88,0.55,0.3,0.15,0.43,0.14,1.0,1.0,0.0,0.08
vdsf.csv,0.25,0.19,0.77,0.3,0.41,0.07,0.24,0.35,0.95,0.86,0.58,0.15
