,dvd-create.csv,phonon-vlc-mplayer.csv,tktoolkit.csv,mpgravity.csv,myfaces.csv,empserver.csv,ppcboot.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,echongl.csv,ultimairis.csv,gdis.csv,gmerlin.csv,passwordsafe.csv,growl-for-windows.csv,sandiaportals.csv,nativeclient.csv,wikipediardware.csv
amateur-scrolls.csv,1.0,0.61,0.25,1.0,0.2,0.67,0.69,1.0,1.0,0.6,0.73,1.0,0.5,0.67,0.83,1.0,0.76,0.8
dvd-create.csv,1.0,0.28,0.13,0.24,0.16,0.56,0.54,0.15,0.33,0.72,0.29,0.88,0.33,0.39,0.73,0.77,0.63,0.76
echongl.csv,0.85,0.27,0.15,0.2,0.08,0.6,0.56,0.26,0.24,1.0,0.32,0.75,0.34,0.36,0.68,0.8,0.58,0.7
empserver.csv,0.92,0.41,0.18,0.6,0.2,1.0,0.54,0.05,0.32,0.76,0.32,0.88,0.3,0.41,0.57,0.87,0.75,0.74
gdis.csv,0.85,0.36,0.14,0.23,0.17,0.52,0.56,0.15,0.39,0.72,0.33,1.0,0.33,0.48,0.6,0.78,0.67,0.82
gmerlin.csv,0.96,0.2,0.13,0.35,0.25,0.62,0.5,0.33,0.25,0.58,0.33,0.93,1.0,0.43,0.61,0.88,0.75,1.0
growl-for-windows.csv,0.81,0.3,0.19,0.28,0.12,0.6,0.53,0.15,0.41,0.7,0.38,0.79,0.45,0.29,1.0,0.9,0.63,0.81
mpgravity.csv,0.8,0.53,0.18,1.0,0.15,0.58,0.59,0.17,0.35,0.66,0.36,0.86,0.33,0.38,0.89,0.86,0.66,0.77
myfaces.csv,0.79,0.16,0.12,0.23,0.98,0.42,0.4,0.26,0.19,0.73,0.36,0.81,0.36,0.34,0.5,0.58,0.58,0.59
nativeclient.csv,0.89,0.35,0.16,0.26,0.26,0.74,0.55,0.24,0.22,0.89,0.36,0.89,0.32,0.49,0.72,0.77,1.0,0.82
passwordsafe.csv,0.82,0.48,0.2,0.0,0.23,0.52,0.58,0.28,0.32,0.8,0.45,0.84,0.35,1.0,0.68,0.8,0.79,0.74
phonon-vlc-mplayer.csv,0.86,1.0,0.19,0.32,0.14,0.5,0.55,0.29,0.37,0.76,0.62,0.91,0.34,0.67,0.68,0.78,0.69,0.72
ppcboot.csv,0.76,0.33,0.13,0.26,0.16,0.54,0.99,0.22,0.35,0.76,0.45,0.89,0.33,0.45,0.67,0.88,0.62,0.73
rtrt-on-gpu.csv,0.8,0.09,0.18,0.15,0.17,0.32,0.57,1.0,0.15,0.56,0.36,0.82,0.31,0.36,0.62,0.57,0.53,1.0
sandiaportals.csv,0.89,0.45,0.18,0.2,0.15,0.67,0.63,0.08,0.38,0.74,0.33,0.88,0.34,0.49,0.55,1.0,0.72,0.81
tktoolkit.csv,0.77,0.18,1.0,0.5,0.06,0.68,0.55,0.17,0.17,0.71,0.31,0.77,0.34,0.36,0.67,0.57,0.54,0.47
ultimairis.csv,0.78,0.29,0.11,0.57,0.11,0.49,0.47,0.13,0.33,0.73,1.0,0.82,0.3,0.39,0.79,0.81,0.57,0.79
wikipediardware.csv,0.88,0.27,0.1,0.14,0.16,0.52,0.47,0.09,0.26,0.73,0.29,0.91,0.35,0.37,0.5,0.75,0.6,1.0
