,dvd-create.csv,phonon-vlc-mplayer.csv,tktoolkit.csv,mpgravity.csv,myfaces.csv,empserver.csv,ppcboot.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,echongl.csv,ultimairis.csv,gdis.csv,gmerlin.csv,passwordsafe.csv,growl-for-windows.csv,sandiaportals.csv,nativeclient.csv,wikipediardware.csv
amateur-scrolls.csv,0.31,0.33,0.26,0.1,0.42,0.2,0.3,0.12,1.0,0.24,0.2,0.27,0.19,0.17,0.17,0.2,0.18,0.25
dvd-create.csv,0.97,0.53,0.41,0.58,0.6,0.52,0.57,0.49,0.43,0.21,0.51,0.72,0.32,0.6,0.47,0.55,0.61,0.6
echongl.csv,0.48,0.57,0.61,0.42,0.36,0.65,0.5,0.72,0.45,1.0,0.52,0.42,0.54,0.55,0.57,0.67,0.54,0.5
empserver.csv,0.51,0.73,0.43,0.29,0.59,0.98,0.34,0.12,0.54,0.54,0.53,0.52,0.37,0.54,0.37,0.53,0.5,0.52
gdis.csv,0.69,0.66,0.53,0.55,0.62,0.56,0.61,0.48,0.71,0.3,0.57,0.98,0.56,0.71,0.44,0.62,0.61,0.68
gmerlin.csv,0.41,0.17,0.49,0.6,0.4,0.26,0.36,0.12,0.18,0.17,0.38,0.54,0.95,0.27,0.41,0.16,0.34,0.13
growl-for-windows.csv,0.44,0.55,0.61,0.66,0.38,0.66,0.56,0.42,0.69,0.36,0.48,0.41,0.48,0.39,0.95,0.39,0.46,0.49
mpgravity.csv,0.51,0.73,0.6,0.93,0.42,0.59,0.6,0.34,0.62,0.45,0.65,0.66,0.5,0.56,0.7,0.68,0.51,0.54
myfaces.csv,0.44,0.29,0.34,0.35,0.98,0.38,0.34,0.67,0.23,0.4,0.48,0.54,0.49,0.52,0.32,0.16,0.53,0.34
nativeclient.csv,0.39,0.54,0.46,0.56,0.76,0.44,0.45,0.7,0.23,0.44,0.61,0.58,0.26,0.69,0.58,0.36,0.98,0.28
passwordsafe.csv,0.53,0.66,0.64,0.0,0.73,0.37,0.48,0.53,0.57,0.57,0.32,0.63,0.55,0.97,0.58,0.54,0.3,0.52
phonon-vlc-mplayer.csv,0.64,0.97,0.54,0.59,0.55,0.48,0.44,0.24,0.64,0.63,0.2,0.74,0.41,0.29,0.53,0.6,0.66,0.49
ppcboot.csv,0.41,0.66,0.58,0.63,0.63,0.45,0.96,0.67,0.62,0.56,0.47,0.7,0.46,0.65,0.42,0.67,0.46,0.54
rtrt-on-gpu.csv,0.13,0.12,0.43,0.2,0.29,0.22,0.21,1.0,0.18,0.06,0.36,0.36,0.38,0.48,0.32,0.18,0.22,0.04
sandiaportals.csv,0.65,0.81,0.69,0.37,0.43,0.48,0.65,0.29,0.68,0.48,0.56,0.64,0.52,0.68,0.39,1.0,0.62,0.65
tktoolkit.csv,0.17,0.28,0.97,0.2,0.2,0.46,0.36,0.24,0.23,0.12,0.3,0.38,0.35,0.32,0.53,0.1,0.31,0.2
ultimairis.csv,0.23,0.56,0.2,0.38,0.42,0.37,0.47,0.41,0.6,0.57,0.93,0.44,0.43,0.59,0.65,0.46,0.41,0.69
wikipediardware.csv,0.66,0.55,0.45,0.1,0.55,0.55,0.47,0.31,0.47,0.37,0.39,0.7,0.52,0.58,0.32,0.56,0.57,0.98
