,autofac.csv,mobicents.csv,snakeyaml.csv,chrysalis.csv,xamj.csv
autofac.csv,0.96,0.55,0.31,0.28,0.5
chrysalis.csv,0.42,0.53,0.39,1.0,0.43
mobicents.csv,0.6,1.0,0.43,0.17,0.43
snakeyaml.csv,0.48,0.51,1.0,0.13,0.33
xamj.csv,0.47,0.53,0.18,0.3,1.0
