,autofac.csv,mobicents.csv,snakeyaml.csv,chrysalis.csv,xamj.csv
autofac.csv,0.95,0.54,0.42,0.38,0.5
chrysalis.csv,0.52,0.5,0.36,0.94,0.46
mobicents.csv,0.31,0.98,0.4,0.18,0.43
snakeyaml.csv,0.63,0.56,0.98,0.22,0.44
xamj.csv,0.63,0.63,0.3,0.36,0.97
