,autofac.csv,mobicents.csv,snakeyaml.csv,chrysalis.csv,xamj.csv
autofac.csv,0.93,0.54,0.63,0.59,0.49
chrysalis.csv,0.69,0.47,0.33,0.89,0.49
mobicents.csv,0.21,0.97,0.37,0.19,0.42
snakeyaml.csv,0.9,0.62,0.96,0.59,0.66
xamj.csv,0.93,0.77,1.0,0.44,0.95
