,brlcad.csv,xmemcached.csv,fceugc.csv,jaolt.csv,kmess.csv,google-gears.csv,ftm.csv,jcache.csv
brlcad.csv,0.73,0.64,0.23,0.24,0.13,0.25,0.5,0.0
fceugc.csv,0.69,0.4,0.68,0.57,0.51,0.47,0.51,0.63
ftm.csv,0.51,0.63,0.58,0.46,0.63,0.56,0.66,0.73
google-gears.csv,0.59,0.54,0.37,0.48,0.55,0.7,0.35,0.09
jaolt.csv,0.05,0.69,0.66,0.68,0.56,0.45,0.65,0.09
jcache.csv,0.55,0.67,0.65,0.48,0.6,0.2,0.29,0.9
kmess.csv,0.0,0.39,0.57,0.19,0.69,0.09,0.58,0.78
xmemcached.csv,0.0,0.72,0.46,0.53,0.48,0.13,0.28,0.38
