,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv
bibletime.csv,0.85,0.34,0.65,0.44,0.71,0.39,0.67,0.64,0.47,0.31,0.54,0.71,0.35,0.61,0.73,0.69,0.18,0.07
decidr.csv,0.26,0.19,0.44,0.48,0.32,0.41,0.0,0.77,0.57,0.51,0.17,0.36,0.3,0.61,0.23,0.6,0.3,0.43
doomlegacy.csv,0.58,0.43,0.48,0.3,0.55,0.49,0.16,0.7,0.4,0.36,0.53,0.56,0.38,0.68,0.04,0.58,0.45,0.29
elmo.csv,0.03,0.0,0.01,0.0,0.04,0.03,0.06,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.0,0.02,0.02,0.07
gpac.csv,0.24,0.19,0.27,0.37,0.26,0.35,0.32,0.04,0.39,0.46,0.37,0.26,0.22,0.26,0.35,0.35,0.14,0.36
illumination.csv,0.14,0.37,0.28,0.52,0.14,0.19,0.11,0.53,0.28,0.08,0.18,0.33,0.05,0.47,0.42,0.0,0.04,0.36
img-browse-sort.csv,0.12,0.33,0.15,0.19,0.04,0.38,0.26,0.28,0.2,0.18,0.28,0.21,0.24,0.0,0.0,0.28,0.04,0.14
ktc.csv,0.02,0.19,0.2,0.07,0.14,0.16,0.27,0.34,0.13,0.18,0.15,0.23,0.3,0.32,0.27,0.23,0.11,0.21
neoengine.csv,0.44,0.84,0.0,0.59,0.43,0.78,0.18,0.87,0.67,0.51,0.65,0.5,0.46,0.37,0.58,0.58,0.75,0.5
nicepress.csv,0.07,0.39,0.16,0.0,0.11,0.0,0.22,0.3,0.53,0.13,0.08,0.19,0.08,0.11,0.19,0.23,0.14,0.21
omseek.csv,0.19,0.07,0.01,0.07,0.12,0.17,0.22,0.28,0.07,0.26,0.14,0.0,0.05,0.16,0.12,0.14,0.02,0.14
pi-qmc.csv,0.39,0.9,0.31,0.41,0.25,0.2,0.21,0.77,0.48,0.18,0.36,0.25,0.08,0.26,0.42,0.43,0.0,0.0
rosegarden.csv,0.11,0.15,0.29,0.37,0.0,0.16,0.08,0.23,0.33,0.26,0.09,0.24,0.27,0.18,0.38,0.2,0.12,0.14
sigil.csv,0.38,0.49,0.26,0.11,0.37,0.39,0.31,0.57,0.18,0.67,0.44,0.31,0.0,0.42,0.31,0.51,0.09,0.36
smarttag.csv,0.43,0.93,0.41,0.3,0.41,0.14,0.35,0.96,0.97,0.0,0.31,0.4,0.16,0.34,0.69,0.31,0.14,0.43
sylpheed-claws.csv,0.24,0.34,0.27,0.48,0.22,0.35,0.43,0.43,0.02,0.51,0.33,0.34,0.11,0.39,0.46,0.46,0.12,0.21
xemeiah.csv,0.18,0.18,0.36,0.07,0.23,0.16,0.19,0.45,0.3,0.31,0.01,0.19,0.19,0.42,0.42,0.22,0.09,0.21
zscreen.csv,0.47,0.34,0.31,0.04,0.47,0.33,0.56,0.66,0.71,0.77,0.55,0.49,0.32,0.63,0.35,0.46,0.25,0.36
