,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.93,0.8,0.68,0.76,0.9,0.88,0.75,0.83,0.83,0.0
flylegacy.csv,0.47,0.69,0.42,0.75,0.66,0.56,0.42,0.58,0.46,0.73
jguard.csv,0.52,0.64,0.78,0.46,0.64,0.66,0.72,0.35,0.47,0.9
m-a-d-n-e-s-s.csv,0.86,0.0,0.81,0.98,0.83,0.67,0.0,0.67,0.59,0.75
mob-sen-plat.csv,0.42,0.34,0.34,0.4,0.34,0.45,0.37,0.48,0.44,0.45
raygina.csv,0.44,0.8,0.36,0.36,0.67,0.45,0.55,0.73,0.75,0.37
st-filteredstatistics.csv,0.37,0.64,0.34,0.36,0.38,0.58,0.39,0.38,0.41,0.43
upp-mirror.csv,0.64,0.67,0.33,0.57,0.42,0.74,0.69,0.65,0.53,0.8
wishmaster.csv,0.8,0.83,0.49,0.68,0.41,0.48,0.65,0.88,0.62,0.54
yarp.csv,0.75,0.0,0.47,0.83,0.75,0.51,0.94,0.86,0.77,0.58
