,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.21,0.39,0.99,0.4,0.48,0.0,0.44,0.65,0.34,0.54,0.45,0.48,0.83
echongl.csv,0.15,0.59,0.41,0.35,0.99,0.04,0.53,0.78,0.41,0.15,0.36,0.33,0.15
les-indemodables.csv,0.21,0.49,0.37,0.43,0.32,0.03,0.51,0.51,0.36,0.97,0.48,0.46,0.3
mbse.csv,0.22,0.58,0.33,0.98,0.44,0.05,0.57,0.63,0.51,0.3,0.38,0.48,0.55
ns-3-dev-def-routing.csv,0.2,0.35,0.32,0.19,0.39,0.15,0.98,0.5,0.37,0.48,0.4,0.29,0.24
psycle.csv,0.17,0.98,0.47,0.41,0.76,0.02,0.5,0.87,0.49,0.56,0.59,0.54,0.65
qpe.csv,0.85,0.43,0.36,0.08,0.18,0.0,0.42,0.41,0.43,0.25,0.27,0.25,0.36
simplewebservices.csv,0.22,0.54,0.37,0.44,0.18,0.05,0.36,0.45,0.37,0.57,0.98,0.38,0.52
v8.csv,0.14,0.79,0.34,0.4,0.83,0.04,0.56,1.0,0.58,0.53,0.54,0.5,0.84
wikipediardware.csv,0.17,0.72,0.44,0.41,0.84,0.0,0.59,0.89,0.55,0.57,0.59,0.48,0.96
wxstudio.csv,0.1,0.33,0.26,0.2,0.47,0.05,0.38,0.37,0.96,0.25,0.11,0.41,0.62
xamj.csv,0.18,0.51,0.37,0.36,0.41,0.0,0.45,0.46,0.27,0.35,0.27,0.95,0.44
