,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.52,0.31,0.98,0.0,0.39,0.0,0.48,0.52,0.35,0.09,0.43,0.5,0.0
echongl.csv,0.55,0.52,0.58,0.46,0.99,0.86,0.57,0.54,0.39,0.13,0.41,0.46,0.1
les-indemodables.csv,0.65,0.4,0.37,0.6,0.25,0.82,0.58,0.4,0.34,0.96,0.48,0.47,0.21
mbse.csv,0.6,0.5,0.41,0.96,0.35,0.9,0.64,0.48,0.55,0.33,0.39,0.45,0.44
ns-3-dev-def-routing.csv,0.52,0.27,0.32,0.21,0.29,0.98,0.98,0.38,0.38,0.5,0.36,0.32,0.19
psycle.csv,0.59,0.98,0.59,0.38,0.36,0.51,0.54,0.43,0.48,0.65,0.47,0.71,0.55
qpe.csv,0.78,0.37,0.52,0.06,0.12,0.0,0.47,0.29,0.45,0.3,0.25,0.33,0.29
simplewebservices.csv,0.45,0.47,0.42,0.66,0.12,0.92,0.36,0.34,0.34,0.66,0.97,0.42,0.42
v8.csv,0.09,0.27,0.47,0.13,0.0,0.86,0.0,1.0,0.24,0.0,0.6,0.62,0.0
wikipediardware.csv,0.62,0.66,0.38,0.35,0.21,0.0,0.54,0.67,0.6,0.61,0.42,0.52,0.93
wxstudio.csv,0.36,0.25,0.29,0.21,0.36,0.92,0.37,0.27,0.97,0.26,0.09,0.48,0.52
xamj.csv,0.49,0.42,0.5,0.38,0.31,0.0,0.48,0.34,0.22,0.34,0.25,0.92,0.36
