,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.62,0.62,0.06,0.49,0.62,0.7,0.43,0.36,0.48,0.46
jmule.csv,0.69,0.65,0.16,0.55,0.7,0.68,0.42,0.36,0.44,0.83
nosleepsoftware.csv,0.32,0.28,0.63,0.0,0.16,0.1,0.0,0.16,0.01,0.47
open-ms.csv,0.71,0.68,0.53,0.24,0.35,0.55,0.48,0.37,0.38,0.59
qgo.csv,0.85,0.67,0.43,0.41,0.59,0.58,0.41,0.35,0.36,0.63
rezilla.csv,0.57,0.69,0.47,0.65,0.25,0.4,0.43,0.31,0.32,0.51
riff-evolve.csv,0.58,0.54,0.0,0.32,0.7,0.69,0.44,0.41,0.57,0.0
uwom.csv,0.58,0.18,0.04,0.5,0.63,0.42,0.09,0.35,0.62,0.6
virtuoso.csv,0.66,0.68,0.41,0.51,0.63,0.65,0.43,0.34,0.45,0.52
yield.csv,0.67,0.68,0.39,0.29,0.76,0.66,0.42,0.37,0.47,0.62
