,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.44,0.55,0.27,0.65,0.37,0.75,0.08,0.2,1.0,0.45,0.5,0.81,0.11
avisynth2.csv,0.04,0.13,0.02,0.08,0.03,0.09,0.08,0.02,0.03,0.03,0.01,0.0,0.06
beast-mcmc.csv,0.23,0.76,0.62,0.79,0.25,0.91,0.32,0.65,0.74,0.32,0.2,0.49,0.17
dataobjectsdotnet.csv,0.34,0.68,0.77,0.33,0.27,0.69,0.44,0.5,0.81,0.36,0.52,0.68,0.39
exist.csv,0.58,0.79,0.54,0.83,0.49,0.26,0.76,0.87,0.73,0.69,0.72,1.0,0.24
foursquared.csv,0.06,0.13,0.1,0.15,0.03,0.21,0.16,0.22,0.23,0.04,0.09,0.21,0.06
jaxlib.csv,0.31,0.34,0.4,0.04,0.71,0.19,0.72,0.52,0.18,0.25,0.71,0.42,0.98
jrefactory.csv,0.72,0.45,0.31,0.33,0.95,0.01,0.96,0.78,0.03,0.52,0.6,0.49,0.96
nodal.csv,0.16,0.39,0.58,0.75,0.13,0.92,0.76,0.17,0.48,0.31,0.19,0.66,0.09
opendvr.csv,0.46,0.71,0.25,0.98,0.51,0.48,0.4,0.37,0.97,0.5,0.55,0.28,0.07
pokenetonline.csv,0.82,0.95,0.96,1.0,0.65,1.0,0.24,0.72,1.0,0.72,0.77,0.81,0.11
simplewebservices.csv,0.88,0.47,0.98,1.0,0.79,0.49,1.0,0.83,0.77,0.74,0.35,1.0,0.48
uface.csv,0.43,0.63,0.38,0.94,0.48,0.88,0.12,0.76,1.0,0.53,0.74,0.62,0.07
