,campsoft.csv,sevenupdate.csv,extprosys.csv,opennms.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,freewrl.csv,roller.csv,aten.csv,xfce.csv,papertoolkit.csv,glas.csv,ibatisdb.csv,soar.csv,primefaces.csv,xcf.csv,web-cat.csv
encog-cs.csv,1.29,0.84,0.79,0.92,0.92,0.79,0.02,0.87,0.5,0.9,0.81,1.01,0.94,0.9,0.99,0.77,0.88,1.02,0.92,0.82
extprosys.csv,0.74,1.0,0.04,0.95,0.84,1.0,0.95,0.93,0.91,1.0,0.85,1.01,0.9,0.98,0.9,0.91,1.0,0.89,0.98,0.88
freewrl.csv,1.07,0.79,0.77,0.86,0.8,0.79,0.82,0.67,0.71,0.07,0.81,0.85,0.68,1.02,0.84,0.54,0.7,0.75,0.7,0.9
glas.csv,0.62,0.89,0.67,0.65,0.87,0.76,0.62,0.57,0.53,0.8,0.75,0.66,0.67,0.55,0.03,0.53,0.77,0.68,0.62,0.96
ibatisdb.csv,1.01,0.85,0.94,0.82,0.58,0.75,0.89,0.81,0.69,0.9,0.77,1.2,0.75,0.69,0.88,0.06,0.85,0.93,0.75,0.56
japano.csv,0.69,1.0,0.6,0.79,0.63,0.11,0.53,0.74,0.97,1.0,0.79,1.0,0.97,0.78,0.91,0.9,1.0,0.82,0.59,0.91
lockss.csv,0.06,0.95,0.98,0.97,0.97,0.97,0.82,0.05,0.85,0.9,0.87,0.96,0.88,1.0,0.89,0.95,0.91,0.97,0.91,1.0
officefloor.csv,1.04,0.82,0.9,0.82,0.89,0.53,0.9,1.08,0.13,0.96,0.86,0.77,0.86,0.57,0.82,0.72,1.0,0.68,0.9,0.48
opennms.csv,1.03,0.86,0.96,0.04,0.67,0.79,0.7,0.86,0.84,0.71,0.86,0.94,0.74,1.03,0.91,0.92,0.91,0.88,0.88,1.0
papertoolkit.csv,1.0,0.83,0.98,1.0,1.0,0.99,1.0,1.0,0.82,1.0,1.0,0.83,1.0,0.0,0.97,1.0,1.0,1.0,1.0,1.0
primefaces.csv,0.37,0.91,0.91,0.69,0.85,0.96,0.8,0.89,0.81,0.96,0.83,1.03,0.81,0.48,0.95,0.44,1.0,0.03,0.8,0.64
rohxel.csv,0.85,0.9,0.65,0.66,0.0,0.74,0.53,0.66,0.52,0.57,0.85,0.19,0.66,0.93,0.83,0.73,0.68,0.89,0.61,0.77
roller.csv,1.11,0.83,0.75,0.62,0.83,0.81,0.72,0.67,0.61,1.0,0.01,0.72,0.86,0.43,0.91,0.8,1.0,0.76,0.82,0.72
sevenupdate.csv,0.96,0.0,1.0,0.74,0.92,1.01,0.96,0.81,0.98,0.83,0.92,1.0,1.0,0.8,1.0,0.99,0.63,0.96,0.74,0.87
soar.csv,0.31,0.67,0.85,0.84,0.84,0.8,0.78,0.78,0.85,0.9,0.86,1.15,0.89,1.17,0.83,0.84,0.03,0.69,0.79,0.88
web-cat.csv,1.02,0.77,0.74,0.87,0.72,0.6,0.71,0.81,0.93,1.0,0.86,0.6,0.72,1.07,0.67,0.52,1.0,0.7,0.83,0.05
xcf.csv,1.26,0.94,0.56,0.66,0.7,0.68,0.63,0.68,0.55,0.93,0.78,0.53,0.96,0.56,0.72,0.82,0.69,0.86,0.03,0.79
xfce.csv,0.78,0.62,0.69,0.79,0.68,0.62,0.59,0.62,0.66,0.69,0.6,1.05,0.03,0.73,0.75,0.51,0.93,0.76,0.59,0.76
