,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,stemkit.csv,zabbix.csv,carabiner.csv
anaxagora.csv,1.06,0.58,0.66,0.93,0.54,0.84,0.72,0.8,0.62,1.0,0.72,0.63,0.64,0.67,0.78,0.59,0.05,1.05,0.72,0.73
blogentis.csv,0.69,0.66,0.89,0.64,0.88,0.74,0.09,0.81,0.92,0.43,0.65,0.72,0.7,0.45,0.78,0.83,0.54,0.74,0.84,0.91
carabiner.csv,0.59,0.75,1.0,0.91,1.1,0.57,0.71,0.88,0.72,0.46,0.69,0.75,0.98,0.84,0.62,0.67,0.75,0.89,0.78,0.0
continuum-ide.csv,1.0,1.0,0.88,0.88,1.12,0.89,0.82,0.89,1.01,1.11,0.79,0.8,0.86,0.83,0.06,0.94,0.85,0.84,1.0,0.72
emulemorph.csv,1.0,0.97,1.0,1.0,0.94,1.01,0.96,1.0,1.0,1.02,1.0,1.0,0.0,1.0,1.01,1.01,1.0,0.69,1.0,0.96
gtad.csv,0.0,0.87,1.0,0.82,0.98,0.73,0.76,1.0,1.01,0.05,0.91,1.0,0.67,0.77,0.91,0.49,0.91,1.0,0.97,0.91
htmlunit.csv,0.65,0.83,0.86,0.86,0.9,0.75,0.74,0.85,1.01,0.93,0.06,0.25,0.52,0.62,0.53,0.97,0.87,0.84,0.94,0.85
jaxen.csv,1.0,0.83,1.0,0.77,0.88,0.76,0.68,1.0,0.5,1.06,0.76,0.0,0.55,0.6,0.83,0.66,0.78,0.84,0.89,0.87
jsr308-langtools.csv,0.54,0.74,1.04,0.93,0.47,0.5,0.59,0.64,0.66,1.01,0.53,0.44,1.04,0.03,0.87,0.44,0.65,0.7,0.71,0.72
jvcl.csv,1.0,0.92,1.0,0.0,1.0,1.0,0.88,0.98,0.9,1.01,0.96,1.03,1.0,1.0,1.0,1.0,0.87,1.0,0.83,1.0
kaffeine.csv,1.06,0.99,1.0,0.99,0.1,0.49,0.5,1.14,0.8,0.69,0.74,0.87,0.94,0.56,1.0,0.83,0.7,0.89,1.0,0.63
m-m-m.csv,0.86,0.71,0.91,1.0,0.76,0.81,0.92,0.0,0.78,0.61,0.8,0.88,0.99,0.66,0.79,0.57,0.8,0.86,0.86,0.95
motu.csv,0.52,0.8,0.75,0.67,0.96,0.82,0.88,0.84,1.02,1.0,0.74,0.81,1.0,0.97,0.95,0.08,0.72,1.0,0.94,1.0
nh3d.csv,1.0,1.0,0.0,0.76,0.86,0.6,0.79,0.98,0.1,0.39,0.83,0.61,0.55,0.75,0.68,0.44,0.78,1.01,0.74,0.82
sarasvati.csv,0.01,0.92,1.0,0.75,0.92,0.0,1.0,0.96,1.0,0.02,0.76,0.27,1.0,0.67,0.77,0.78,0.86,1.0,0.97,1.0
stemkit.csv,1.01,0.95,1.0,1.0,0.9,1.0,1.0,0.96,1.0,0.02,0.98,1.0,1.0,1.0,1.0,1.0,0.86,0.0,0.95,1.0
taokgame.csv,0.54,1.0,1.0,0.94,0.84,0.91,0.85,0.98,0.0,1.01,0.97,0.81,0.48,0.87,0.83,0.93,0.75,0.84,0.53,0.87
wgs-assembler.csv,1.0,0.13,0.16,0.61,0.82,0.74,0.61,0.96,0.93,0.46,0.86,0.43,1.02,0.71,0.9,0.8,0.58,0.72,0.84,0.91
zabbix.csv,0.77,0.94,1.05,0.97,1.01,0.83,0.71,0.81,0.73,0.54,0.73,0.58,0.86,0.66,0.91,0.92,0.82,0.73,0.02,0.92
