,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,0.76,0.0,0.18,0.79,0.59,0.52,0.1,0.82,0.53,0.18,0.41,0.47,0.79,0.56
continuum-ide.csv,0.37,1.0,0.05,0.12,0.02,0.1,0.55,0.31,0.12,0.02,0.5,0.51,0.16,0.8
free-evolution.csv,0.52,0.0,0.42,0.68,0.57,0.2,0.65,0.92,0.03,0.53,0.34,0.41,0.53,0.96
gtad.csv,0.2,0.0,0.16,0.11,0.34,0.07,0.0,0.33,0.0,0.12,0.13,0.26,0.11,0.16
jaxen.csv,0.85,1.0,0.5,0.35,0.89,0.1,0.75,0.82,0.13,0.8,0.52,0.63,0.84,0.76
jruby.csv,0.1,0.0,0.38,0.35,0.82,0.22,0.7,0.62,0.0,0.71,0.07,0.68,0.37,0.92
jsr308-langtools.csv,0.66,0.55,0.86,0.77,1.0,0.95,0.1,0.9,0.77,1.0,0.76,0.38,0.89,0.2
kaffeine.csv,0.96,0.09,0.47,0.48,0.54,0.55,1.0,0.82,0.99,0.31,0.59,0.58,0.58,0.64
oorexx.csv,0.0,0.0,0.48,0.32,0.67,0.01,0.05,0.18,0.57,0.2,0.45,0.31,0.37,0.24
qedo.csv,0.23,0.91,0.17,0.2,0.13,0.16,0.45,0.38,0.27,0.24,0.61,0.21,0.11,0.4
sarasvati.csv,0.37,0.0,0.26,0.29,0.25,0.8,0.25,0.44,0.8,0.29,0.13,0.45,0.42,0.08
taokgame.csv,0.17,0.0,0.2,0.09,0.41,0.16,0.3,0.15,0.16,0.24,0.05,0.29,0.05,0.08
zabbix.csv,0.65,0.0,0.62,0.45,0.34,0.34,0.25,0.08,0.12,0.67,0.37,0.57,0.42,0.24
