,etics.csv,mcore3d.csv,kvs.csv,ogrehg.csv,genecys.csv,boost.csv,projecteqemu.csv,kftpgrabber.csv
boost.csv,0.42,0.54,0.46,0.54,0.41,0.71,0.39,0.48
etics.csv,0.67,0.9,0.94,0.59,0.42,0.89,0.43,0.57
genecys.csv,0.43,0.42,0.51,0.47,0.45,0.49,0.43,0.44
kftpgrabber.csv,0.58,0.78,0.85,0.6,0.4,0.6,0.54,0.53
kvs.csv,0.86,0.91,0.84,0.72,0.45,0.76,0.48,0.47
mcore3d.csv,0.52,0.46,0.46,0.58,0.43,0.56,0.4,0.44
ogrehg.csv,0.47,0.72,0.9,0.64,0.42,0.64,0.51,0.68
projecteqemu.csv,0.88,0.96,0.0,0.98,0.5,0.9,0.6,0.63
