,opde.csv,mb-unit.csv,chipster.csv,delphilhlplib.csv,ivataopenportal.csv,pamguard.csv,jppf-project.csv,bigdata.csv,kolmafia.csv,quark.csv,tigermud.csv,emite.csv,l2j.csv,stajistics.csv,hydrate.csv,jfreechart.csv
bigdata.csv,0.39,0.94,0.38,0.84,0.5,0.64,1.0,0.99,0.56,0.31,0.67,0.4,0.85,0.4,0.8,0.01
chipster.csv,0.38,0.92,1.0,0.73,0.6,0.69,0.96,0.9,0.59,0.21,0.57,0.5,0.82,0.12,0.61,0.0
delphilhlplib.csv,0.17,0.87,0.42,1.0,0.52,0.59,0.88,0.88,0.5,0.17,0.63,0.56,0.92,0.48,0.61,0.02
emite.csv,0.56,0.88,0.43,0.7,0.58,0.66,0.91,0.84,0.53,0.1,0.63,1.0,0.79,0.48,0.58,0.0
hydrate.csv,0.48,0.9,0.5,0.86,0.69,0.63,0.94,0.92,0.67,0.25,0.72,0.54,0.84,0.53,0.94,0.0
ivataopenportal.csv,0.26,0.88,0.46,0.89,0.98,0.74,1.0,0.91,0.58,0.28,0.67,0.32,0.71,0.32,0.68,0.0
jppf-project.csv,0.36,0.85,0.4,0.75,0.5,0.62,1.0,0.88,0.56,0.19,0.62,0.44,0.73,0.29,0.63,0.01
kolmafia.csv,0.38,0.91,0.64,0.9,0.56,0.7,1.0,0.91,1.0,0.22,0.7,0.38,0.66,0.45,0.72,0.01
l2j.csv,0.42,0.87,0.46,0.71,0.57,0.63,0.95,0.89,0.58,0.21,0.65,0.43,0.99,0.4,0.7,0.01
mb-unit.csv,0.34,1.0,0.43,0.83,0.54,0.64,0.94,0.9,0.46,0.23,0.53,0.44,0.74,0.38,0.68,0.01
opde.csv,1.0,0.81,0.49,0.75,0.52,0.59,0.91,0.9,0.59,0.2,0.73,0.57,0.66,0.25,0.74,0.04
pamguard.csv,0.34,0.86,0.5,0.88,0.51,1.0,0.95,0.9,0.55,0.19,0.59,0.44,0.67,0.34,0.62,0.01
quark.csv,0.0,0.82,0.41,0.75,0.0,1.0,0.86,0.88,0.67,0.93,0.0,0.44,0.0,0.0,1.0,0.0
stajistics.csv,0.36,0.88,0.46,0.79,0.73,0.64,0.91,0.86,0.54,0.2,0.66,0.47,0.79,1.0,0.63,0.0
tigermud.csv,0.35,0.84,0.4,0.69,0.54,0.55,0.92,0.87,0.55,0.31,0.97,0.42,0.74,0.36,0.74,0.0
