,jlinalg.csv,psycle.csv,superwaba.csv,wxcrp.csv,fritzing.csv,arianne.csv,playerstage.csv,knowledge.csv,bl-toolkit.csv,gnukeda.csv,enlightenment.csv,massiv.csv,alsa.csv,amateur-scrolls.csv,doomlegacy.csv
alsa.csv,0.49,0.53,0.45,0.61,0.49,0.61,0.4,0.4,0.46,0.58,0.56,0.61,0.48,0.45,0.42
amateur-scrolls.csv,0.9,0.95,0.86,0.63,0.45,0.98,0.61,0.52,0.8,0.88,0.92,0.79,0.8,0.44,0.86
arianne.csv,0.53,0.48,0.45,0.42,0.52,0.48,0.4,0.42,0.42,0.44,0.46,0.43,0.38,0.41,0.38
bl-toolkit.csv,0.52,0.74,0.57,0.53,0.89,0.4,0.59,0.42,0.42,0.52,0.45,0.56,0.38,0.46,0.52
doomlegacy.csv,0.7,0.52,0.47,0.43,0.4,0.58,0.41,0.4,0.69,0.38,0.5,0.46,0.89,0.46,0.32
enlightenment.csv,0.52,0.47,0.62,0.42,0.43,0.37,0.35,0.42,0.42,0.44,0.46,0.4,0.37,0.39,0.36
fritzing.csv,0.47,0.53,0.43,0.58,0.47,0.61,0.49,0.39,0.44,0.47,0.49,0.43,0.5,0.67,0.83
gnukeda.csv,0.53,0.56,0.5,0.46,0.45,0.48,0.35,0.53,0.76,0.53,0.56,0.48,0.69,0.48,0.36
jlinalg.csv,0.45,0.75,0.79,0.54,0.54,0.46,0.45,0.57,0.74,0.68,0.57,0.56,0.53,0.43,0.38
knowledge.csv,0.41,0.53,0.41,0.44,0.47,0.47,0.39,0.42,0.47,0.46,0.48,0.52,0.4,0.44,0.33
massiv.csv,0.86,0.75,0.95,0.8,0.65,0.95,0.0,0.0,0.67,0.67,0.0,0.95,0.0,0.54,0.0
playerstage.csv,0.43,0.62,0.49,0.52,0.44,0.59,0.5,0.38,0.67,0.56,0.5,0.51,0.46,0.62,0.72
psycle.csv,0.45,0.46,0.39,0.42,0.44,0.42,0.37,0.39,0.45,0.43,0.46,0.4,0.39,0.38,0.35
superwaba.csv,0.5,0.42,0.43,0.41,0.44,0.53,0.56,0.35,0.45,0.42,0.55,0.43,0.35,0.37,0.42
wxcrp.csv,0.54,0.52,0.43,0.53,0.45,0.43,0.38,0.42,0.54,0.45,0.98,0.43,0.56,0.48,0.36
