,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,pcsx2.csv,xqilla.csv,wxjs.csv,ffigo.csv,wikipediardware.csv
enlightenment.csv,0.47,0.4,0.42,0.47,0.43,0.39,0.39,0.38,0.42
ffigo.csv,0.71,0.92,0.84,0.0,0.94,0.89,0.88,0.41,0.5
ildjit.csv,0.59,0.87,0.8,0.82,0.82,0.96,0.91,0.74,0.67
jfreereport.csv,0.96,0.79,0.72,0.85,0.64,0.86,0.88,0.57,0.67
pcsx2.csv,0.57,0.7,0.49,0.52,0.45,0.74,0.58,0.83,0.5
psycle.csv,0.47,0.43,0.41,0.46,0.41,0.35,0.38,0.39,0.5
wikipediardware.csv,0.43,0.4,0.42,0.42,0.4,0.35,0.39,0.39,0.47
wxjs.csv,0.92,0.0,0.99,0.5,0.8,0.46,0.65,0.0,0.0
xqilla.csv,0.6,0.93,0.72,0.98,0.89,0.9,0.47,0.75,0.75
