,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,1.0,0.65,0.23,0.53,0.21,0.04,0.36,0.31,0.17,0.27
aime.csv,0.15,0.13,0.7,0.79,0.93,0.96,0.56,0.45,0.52,0.27
badtrinitycore.csv,0.0,0.03,0.12,0.94,0.29,0.48,0.08,0.18,0.13,0.07
electric-core.csv,0.27,0.63,0.92,0.7,0.64,0.44,0.32,0.1,0.43,0.33
geochat.csv,0.42,0.85,0.31,0.28,1.0,0.76,0.48,0.51,0.65,1.0
mumble.csv,0.65,0.29,0.35,0.09,0.0,0.4,1.0,0.17,0.22,0.2
olsrd.csv,0.96,0.99,0.8,0.85,0.86,0.56,0.72,0.52,0.57,0.5
silvertree.csv,0.58,0.65,0.39,0.15,0.0,0.96,0.64,0.16,0.22,0.27
skia.csv,0.38,0.43,0.29,0.53,0.21,0.2,0.28,0.36,0.91,0.2
t-2.csv,0.35,0.31,0.4,0.38,0.29,0.32,0.28,0.93,0.13,0.5
