,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.99,0.67,0.27,0.56,0.25,0.05,0.41,0.35,0.2,0.31
aime.csv,0.18,0.16,0.67,0.77,0.94,0.68,0.48,0.42,0.5,0.3
badtrinitycore.csv,0.0,0.04,0.15,0.95,0.32,0.51,0.1,0.21,0.16,0.09
electric-core.csv,0.31,0.52,0.93,0.55,0.57,0.46,0.35,0.12,0.46,0.37
geochat.csv,0.42,0.0,0.33,0.28,0.24,0.64,0.48,0.49,0.54,1.0
mumble.csv,0.67,0.33,0.4,0.11,0.0,0.44,1.0,0.2,0.26,0.24
olsrd.csv,0.66,0.99,0.58,0.55,0.68,0.55,0.61,0.51,0.53,0.48
silvertree.csv,0.6,0.58,0.44,0.18,0.0,0.97,0.65,0.19,0.26,0.31
skia.csv,0.42,0.46,0.33,0.54,0.25,0.24,0.32,0.41,0.93,0.24
t-2.csv,0.38,0.32,0.44,0.43,0.32,0.36,0.3,0.94,0.16,0.52
