,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.98,0.75,0.3,0.28,0.26,0.07,0.5,0.25,0.24,0.3
aime.csv,0.27,0.23,0.42,0.37,0.96,0.66,0.33,0.15,0.39,0.19
badtrinitycore.csv,0.0,0.06,0.18,0.97,0.15,0.49,0.14,0.1,0.19,0.1
electric-core.csv,0.39,0.69,0.95,0.2,0.28,0.43,0.28,0.06,0.39,0.27
geochat.csv,0.43,0.79,0.18,0.08,0.3,0.58,0.33,0.18,0.43,1.0
mumble.csv,0.69,0.43,0.35,0.11,0.0,0.47,1.0,0.16,0.28,0.29
olsrd.csv,0.74,0.99,0.36,0.22,0.35,0.5,0.43,0.2,0.41,0.29
silvertree.csv,0.61,0.71,0.37,0.17,0.0,0.98,0.54,0.09,0.28,0.27
skia.csv,0.45,0.56,0.34,0.24,0.25,0.31,0.35,0.34,0.95,0.29
t-2.csv,0.41,0.41,0.35,0.29,0.15,0.36,0.2,0.96,0.17,0.36
