,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.37,0.35,0.99,0.56,0.89,0.67,0.91,0.76,0.91,0.71
aime.csv,0.75,0.9,0.57,0.65,0.92,0.46,0.44,0.62,0.58,0.71
badtrinitycore.csv,0.0,0.5,0.98,0.98,0.71,0.62,0.67,0.93,0.89,0.92
electric-core.csv,0.7,0.54,0.84,0.5,0.56,0.58,0.75,0.89,0.71,0.82
geochat.csv,0.56,0.5,0.54,0.5,0.45,0.4,0.47,0.71,0.41,0.83
mumble.csv,0.35,0.5,0.72,0.96,0.83,0.56,0.6,0.85,0.69,0.91
olsrd.csv,0.31,0.39,0.38,0.38,0.4,0.55,0.46,0.43,0.45,0.52
silvertree.csv,0.39,0.52,0.91,0.97,0.67,0.62,0.56,0.85,0.85,0.86
skia.csv,0.56,0.58,0.92,0.71,0.9,0.86,0.87,0.98,0.62,0.92
t-2.csv,0.78,0.94,0.88,0.99,0.82,0.79,0.72,0.99,0.92,0.7
