,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.3,0.0,0.13,0.05,0.17,0.0,1.0,0.09,0.62,0.17,0.1,0.0
dvt.csv,0.35,0.21,0.66,0.99,0.39,0.09,0.29,0.31,0.48,0.83,0.52,0.18
flylinkdc.csv,0.99,0.13,0.06,0.25,0.35,0.32,0.25,0.43,0.17,0.41,0.46,0.26
fulguro.csv,0.23,0.15,0.65,0.17,0.42,0.14,0.29,0.44,0.01,0.08,0.05,0.9
fw4spl.csv,0.08,0.17,0.03,0.13,0.26,0.96,0.47,0.23,0.52,0.09,0.1,0.22
ipfire-wall.csv,0.24,0.19,0.26,0.25,0.14,0.17,0.18,1.0,0.0,0.24,0.37,0.26
jruby.csv,0.38,0.16,0.89,0.48,0.48,0.2,0.32,0.36,0.74,1.0,0.64,0.26
ldview.csv,0.44,0.13,0.43,0.22,0.98,0.19,0.15,0.42,0.55,0.45,0.58,0.22
nuttx.csv,0.35,0.14,0.99,0.5,0.24,0.21,0.3,0.31,0.98,0.86,0.64,0.25
oorexx.csv,0.31,0.11,0.62,0.38,0.48,0.25,0.19,0.46,0.48,0.67,0.99,0.2
uclmda.csv,0.37,0.14,0.82,0.55,0.36,0.21,0.28,0.45,1.0,0.46,0.14,0.19
vdsf.csv,0.45,0.9,0.86,0.44,0.53,0.21,0.42,0.43,0.98,0.9,0.74,0.19
