,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.79,1.0,0.94,0.98,0.91,1.0,0.0,0.95,0.55,0.92,0.95,1.02
dvt.csv,0.7,0.73,0.74,0.02,0.72,0.92,0.75,0.76,0.84,0.72,0.66,0.77
flylinkdc.csv,0.03,0.89,0.97,0.81,0.74,0.52,0.82,0.63,0.92,0.82,0.69,0.62
fulguro.csv,0.83,0.77,0.78,0.91,0.68,0.88,0.76,0.62,0.99,0.96,0.97,0.18
fw4spl.csv,0.95,0.89,0.98,1.0,0.83,0.08,0.53,0.85,0.82,0.96,0.95,0.69
ipfire-wall.csv,0.84,0.72,0.87,0.82,0.92,0.83,0.87,0.0,1.05,0.87,0.79,0.67
jruby.csv,0.86,0.99,0.98,0.61,0.61,0.72,0.73,0.71,0.44,0.05,0.75,0.67
ldview.csv,0.58,0.85,0.8,0.99,0.05,0.74,0.9,0.65,0.7,0.73,0.59,0.66
nuttx.csv,0.81,0.99,0.02,0.55,0.84,0.88,0.73,0.82,0.83,0.91,0.69,0.62
oorexx.csv,0.8,0.82,0.67,0.67,0.63,0.67,0.9,0.68,1.07,0.78,0.03,0.72
uclmda.csv,0.75,0.87,0.74,0.47,0.79,0.86,0.78,0.67,0.0,0.71,0.92,0.75
vdsf.csv,0.92,0.14,0.98,0.85,1.0,0.95,1.0,0.99,1.0,0.9,1.0,0.98
