,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.94,0.0,0.94,0.5,0.93,0.0,0.95,0.8,0.51,0.93,0.67,0.93
dvt.csv,0.82,0.35,0.72,0.73,0.72,0.85,0.81,0.93,0.68,0.57,0.76,0.55
flylinkdc.csv,0.72,0.99,0.83,0.55,0.46,0.49,0.82,0.53,0.94,0.51,0.5,0.61
fulguro.csv,0.96,0.38,0.81,0.96,0.92,0.97,0.88,0.67,0.0,0.83,0.0,0.89
fw4spl.csv,0.93,0.97,0.67,0.9,0.94,0.98,0.87,0.88,0.59,0.88,0.8,0.8
ipfire-wall.csv,0.92,0.84,0.97,0.74,0.88,0.97,0.96,0.56,0.5,0.95,0.78,0.6
jruby.csv,0.37,0.26,0.55,0.45,0.44,0.59,0.61,0.67,0.38,0.48,0.45,0.65
ldview.csv,0.67,0.36,0.83,0.64,0.7,0.63,0.84,0.73,0.57,0.57,0.42,0.64
nuttx.csv,0.43,0.27,0.61,0.43,0.92,0.43,0.6,0.52,0.26,0.49,0.49,0.58
oorexx.csv,0.48,0.53,0.69,0.71,0.62,0.56,0.61,0.44,0.71,0.56,0.49,0.6
uclmda.csv,0.43,0.31,0.66,0.55,0.48,0.43,0.87,0.45,0.26,0.67,0.83,0.42
vdsf.csv,0.38,0.99,0.56,0.6,0.47,0.42,0.45,0.39,0.26,0.47,0.38,0.44
