,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,esmf.csv,mule.csv,jsecurity.csv,delphilhlplib.csv,piccolo2d.csv,libopenmetaverse.csv,gbif-indexingtoolkit.csv,mptvseries.csv,vars-redux.csv
avifile.csv,0.94,0.0,0.93,0.8,0.62,0.61,0.71,0.5,0.9,0.43,0.93,0.52,0.65
delphilhlplib.csv,0.7,0.49,0.72,0.61,0.95,0.52,0.7,0.4,0.45,0.5,0.39,0.5,0.4
esmf.csv,0.4,0.35,0.64,0.69,0.65,0.7,0.62,0.58,0.47,0.46,0.62,0.52,0.37
gbif-indexingtoolkit.csv,0.58,0.39,0.44,0.49,0.65,0.53,0.56,0.46,0.42,0.5,0.7,0.53,0.58
jgameai.csv,0.5,0.0,0.8,0.82,0.88,0.75,0.9,0.0,0.0,0.5,0.0,0.0,0.5
jsecurity.csv,0.54,0.94,0.59,0.69,0.5,0.64,0.43,0.61,0.56,0.44,0.48,0.38,0.64
libopenmetaverse.csv,0.36,0.35,0.42,0.48,0.42,0.38,0.46,0.38,0.36,0.52,0.37,0.41,0.35
mptvseries.csv,0.44,0.51,0.56,0.58,0.63,0.47,0.65,0.5,0.5,0.5,0.62,0.47,0.41
mule.csv,0.41,0.69,0.87,0.48,0.6,0.42,0.96,0.49,0.51,0.53,0.42,0.69,0.5
piccolo2d.csv,0.58,0.88,0.74,0.62,0.93,0.67,0.95,0.49,0.46,0.53,0.48,0.67,0.39
vars-redux.csv,0.36,0.47,0.44,0.41,0.42,0.38,0.47,0.39,0.34,0.4,0.35,0.33,0.45
werx.csv,0.42,0.37,0.41,0.48,0.42,0.42,0.46,0.39,0.36,0.37,0.44,0.35,0.37
