,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.76,0.17,0.66,0.37,0.35,0.55,0.51,0.36,0.41,0.72
gamestone.csv,0.12,0.7,0.17,0.36,0.2,0.04,0.0,0.08,0.08,0.12
gbif-providertoolkit.csv,0.56,0.05,0.38,0.43,0.47,0.79,0.51,0.32,0.25,0.63
heekscad.csv,0.8,0.46,0.64,0.48,0.35,0.68,0.5,0.33,0.41,0.84
igarden.csv,0.67,0.22,0.54,0.55,0.37,0.71,0.46,0.22,0.45,0.68
levent.csv,0.65,0.11,0.13,0.17,0.34,0.79,0.5,0.14,0.0,0.37
owlapi.csv,0.47,0.0,0.31,0.12,0.34,0.68,0.46,0.49,0.38,0.62
pnotepad.csv,0.71,0.33,0.62,0.47,0.26,0.65,0.5,0.23,0.33,0.95
quark.csv,0.5,0.36,0.45,0.26,0.24,0.0,0.05,0.18,0.62,0.22
xcsoar.csv,0.72,0.25,0.71,0.45,0.4,0.54,0.39,0.32,0.33,0.29
