,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.11,0.02,0.12,0.06,0.42,0.64,0.1,0.96,0.11,0.0,0.56
ivatamasks.csv,0.84,0.68,0.88,0.99,0.55,0.29,0.59,0.54,0.67,0.54,0.57
java-gnome.csv,0.79,0.72,0.81,0.49,0.4,0.33,0.65,0.36,1.0,0.17,0.44
orc.csv,0.16,0.09,1.0,0.09,0.14,0.67,0.22,0.21,0.0,0.0,0.34
plato.csv,0.68,0.73,0.44,0.6,0.66,1.0,0.82,0.68,0.7,0.74,0.77
rodin-b-sharp.csv,0.53,0.33,0.25,0.28,0.05,0.24,0.97,0.14,0.72,0.0,0.16
tycho.csv,0.21,0.4,0.69,0.39,0.39,0.64,0.63,0.43,0.7,1.0,0.45
umber.csv,1.0,0.23,0.31,0.38,0.16,0.02,0.22,0.32,0.7,0.17,0.07
unicase.csv,0.89,0.91,0.81,0.72,0.41,0.74,0.7,0.64,0.67,0.54,0.99
vienna-add-in.csv,0.84,0.94,0.62,0.77,0.99,0.48,0.61,0.79,0.84,0.49,0.65
wpdev.csv,1.0,1.0,1.0,1.0,1.0,0.86,1.0,1.0,0.98,1.0,1.0
