,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,1.01,0.98,0.88,0.94,0.63,0.95,0.91,0.04,0.9,1.0,0.86
ivatamasks.csv,0.35,0.59,0.75,0.01,0.64,0.87,0.56,0.63,0.46,0.58,0.62
java-gnome.csv,0.28,0.57,0.53,0.59,0.78,0.76,0.44,0.71,0.0,0.84,0.61
orc.csv,0.92,0.91,0.0,0.92,0.94,0.82,0.8,0.8,1.0,1.0,0.78
plato.csv,0.79,0.57,0.93,0.81,0.85,0.0,0.69,0.64,0.75,0.89,0.75
rodin-b-sharp.csv,0.48,0.67,0.76,0.74,0.95,0.8,0.03,0.86,0.38,1.0,0.85
tycho.csv,0.89,0.78,0.63,0.8,0.73,0.83,0.54,0.65,0.53,0.0,0.67
umber.csv,0.0,0.77,0.7,0.65,0.85,1.01,0.79,0.71,0.35,0.83,0.93
unicase.csv,0.5,1.0,0.67,0.75,0.71,0.46,0.66,0.61,0.55,0.6,0.03
vienna-add-in.csv,0.41,1.0,0.82,0.78,0.01,0.72,0.68,0.63,0.41,0.74,0.69
wpdev.csv,1.0,0.0,1.0,1.0,1.0,0.89,1.0,0.97,1.0,1.0,1.0
