,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.09,0.04,0.18,0.11,0.55,0.71,0.15,0.98,0.19,0.0,0.61
ivatamasks.csv,0.62,0.81,0.21,0.99,0.62,0.41,0.52,0.3,0.76,0.59,0.65
java-gnome.csv,0.68,0.84,0.27,0.6,0.49,0.47,0.61,0.25,1.0,0.27,0.58
orc.csv,0.14,0.17,1.0,0.16,0.22,0.74,0.29,0.22,0.0,0.0,0.45
plato.csv,0.36,0.84,0.11,0.62,0.65,1.0,0.55,0.31,0.74,0.61,0.76
rodin-b-sharp.csv,0.62,0.49,0.24,0.41,0.09,0.37,0.99,0.17,0.8,0.0,0.26
tycho.csv,0.18,0.57,0.21,0.47,0.49,0.72,0.54,0.29,0.77,1.0,0.56
umber.csv,1.0,0.38,0.28,0.51,0.26,0.04,0.31,0.28,0.8,0.29,0.12
unicase.csv,0.54,0.94,0.22,0.7,0.51,0.82,0.51,0.32,0.75,0.58,0.99
vienna-add-in.csv,0.57,0.96,0.16,0.72,0.99,0.61,0.47,0.34,0.86,0.51,0.69
wpdev.csv,0.41,1.0,0.19,0.81,0.8,0.85,0.53,0.3,0.87,0.71,0.84
