,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.07,1.0,0.33,0.75,0.78,0.79,0.31,1.0,0.86,0.0,0.67
ivatamasks.csv,0.48,0.99,0.12,1.0,0.71,0.75,0.47,0.21,0.88,0.66,0.77
java-gnome.csv,0.6,0.99,0.16,0.77,0.62,0.82,0.57,0.19,1.0,0.6,0.83
orc.csv,0.12,1.0,1.0,0.6,0.43,0.82,0.42,0.22,0.0,0.0,0.68
plato.csv,0.25,0.99,0.06,0.64,0.63,1.0,0.41,0.2,0.78,0.52,0.74
rodin-b-sharp.csv,0.77,1.0,0.22,0.79,0.57,0.83,1.0,0.21,0.91,0.0,0.78
tycho.csv,0.15,0.98,0.13,0.61,0.67,0.82,0.48,0.22,0.85,1.0,0.75
umber.csv,1.0,1.0,0.25,0.8,0.81,0.33,0.54,0.24,0.93,0.86,0.84
unicase.csv,0.39,0.98,0.13,0.68,0.68,0.91,0.4,0.21,0.84,0.63,0.99
vienna-add-in.csv,0.43,0.98,0.09,0.68,1.0,0.83,0.38,0.21,0.89,0.53,0.74
wpdev.csv,0.26,1.0,0.1,0.68,0.67,0.84,0.36,0.18,0.78,0.56,0.72
