,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.36,0.34,0.0,0.31,0.24,0.11,0.26,0.6,0.0,0.25,0.38,1.0,0.06
bacula.csv,0.43,0.49,0.24,0.44,0.62,0.14,0.23,0.71,1.0,0.31,0.24,0.28,0.12
elmo.csv,0.78,0.8,1.0,0.0,0.5,0.5,0.4,1.0,0.73,0.35,0.2,0.21,0.0
jajuk.csv,0.57,0.65,0.14,0.48,1.0,0.28,0.27,0.66,0.76,0.5,0.48,0.29,0.17
ktc.csv,0.99,0.8,0.08,0.54,0.87,0.33,0.34,0.69,0.63,0.65,0.63,0.21,0.11
neoengine.csv,0.59,0.7,0.1,0.98,0.68,0.26,0.22,0.66,0.71,0.34,0.44,0.2,0.13
omseek.csv,0.53,0.87,0.0,0.55,0.62,0.5,0.14,1.0,1.0,0.43,0.45,0.33,1.0
pcgen.csv,0.67,0.7,0.16,0.79,0.76,0.39,0.14,1.0,0.75,0.27,0.98,0.1,0.16
rosegarden.csv,0.78,0.7,0.07,0.52,0.72,0.37,0.31,0.61,0.71,0.98,0.52,0.3,0.12
selenium.csv,0.64,0.97,0.07,0.6,0.75,0.25,0.32,0.76,0.76,0.49,0.58,0.2,0.14
vapor.csv,0.67,0.48,0.0,0.59,0.57,0.21,1.0,0.89,0.75,0.46,0.36,0.4,0.26
zorannt.csv,0.32,0.52,0.07,0.61,0.48,1.0,0.18,0.58,0.66,0.27,0.67,0.19,0.13
zscreen.csv,0.54,0.59,0.11,0.51,0.56,0.15,0.33,1.0,0.68,0.39,0.52,0.31,0.16
